subject,expected,false,category,ctrl_prob_correct,ctrl_prob_false,ctrl_logit_diff,ctrl_in_top5,ctrl_entropy,neg_prob_correct,neg_prob_false,neg_logit_diff,neg_in_top5,neg_entropy,prob_drop,false_boost,entropy_change,logit_diff_change
Aucassin and Nicolette, French,Russian,language,0.2847631573677063,0.0012372360797598958,5.438777923583984,True,4.823236465454102,0.19423116743564606,0.009843884035944939,2.982198715209961,True,4.771360397338867,0.09053198993206024,0.008606647956185043,-0.051876068115234375,-2.4565792083740234
Hamburg City Hall, Hamburg,Houston,other,0.017561741173267365,1.55622747115558e-05,7.028628349304199,True,4.361830711364746,0.007232098374515772,0.006811119616031647,0.05997276306152344,False,3.8394322395324707,0.010329642798751593,0.006795557341320091,-0.5223984718322754,-6.968655586242676
Nissan X-Trail, Nissan,Honda,science,0.1872600018978119,0.0051331291906535625,3.596782684326172,True,5.204672813415527,0.0028766575269401073,0.0029178704135119915,-0.014225006103515625,False,4.938726902008057,0.18438334437087178,-0.002215258777141571,-0.2659459114074707,-3.6110076904296875
University of Western Australia, Perth,Copenhagen,other,0.7177459001541138,7.88577199273277e-06,11.418810844421387,True,1.866768479347229,0.00010308941273251548,0.0005557865370064974,-1.6847877502441406,False,5.431900501251221,0.7176428107413813,0.0005479007650137646,3.5651320219039917,-13.103598594665527
Hiroshi Tsuchida, Tokyo,Denver,other,0.12479948252439499,1.4778863260289654e-05,9.041265487670898,True,4.098324298858643,0.0007080823415890336,0.00667404942214489,-2.2434215545654297,False,4.851117134094238,0.12409140018280596,0.0066592705588846,0.7527928352355957,-11.284687042236328
Jacques Leroy de Saint Arnaud, French,Russian,other,0.682309091091156,0.001724714762531221,5.98042106628418,True,2.0086193084716797,0.009627638384699821,0.0029295452404767275,1.1897907257080078,False,5.1351318359375,0.6726814527064562,0.0012048304779455066,3.1265125274658203,-4.790630340576172
Porsche Carrera, Porsche,Dodge,science,0.16974614560604095,4.759694274980575e-05,8.179290771484375,True,5.8095927238464355,0.012639337219297886,0.00033372125471942127,3.634263038635254,False,4.706416130065918,0.15710680838674307,0.0002861243119696155,-1.1031765937805176,-4.545027732849121
Internet Explorer Mobile, Microsoft,Nintendo,science,0.6809431910514832,2.7745090847020037e-05,10.108175277709961,True,2.1002795696258545,0.003210886847227812,0.003522526938468218,-0.09263134002685547,False,3.9125382900238037,0.6777323042042553,0.003494781847621198,1.8122587203979492,-10.200806617736816
Comedy of Power, French,Italian,language,0.007377810310572386,0.001594215864315629,1.532094955444336,False,5.682373523712158,0.044978924095630646,0.020148148760199547,0.8030815124511719,False,4.885213375091553,-0.03760111378505826,0.018553932895883918,-0.7971601486206055,-0.7290134429931641
Tomoko Kawase, Japan,Ireland,nationality,0.26953086256980896,0.002367780776694417,4.734729766845703,True,3.817425489425659,8.565741882193834e-05,0.0012833996443077922,-2.706912040710449,False,4.670189380645752,0.269445205150987,-0.0010843811323866248,0.8527638912200928,-7.441641807556152
The Purple Taxi, French,English,language,0.02409185841679573,0.0343024916946888,-0.3533439636230469,False,5.518304824829102,0.0432654544711113,0.008586619049310684,1.6171493530273438,True,4.752552509307861,-0.019173596054315567,-0.025715872645378113,-0.7657523155212402,1.9704933166503906
MSX-DOS, Microsoft,Adobe,science,0.03904294967651367,0.00010164516424993053,5.950929641723633,True,5.546891689300537,0.0011683512711897492,0.00012092682300135493,2.2681632041931152,False,4.748154640197754,0.03787459840532392,1.9281658751424402e-05,-0.7987370491027832,-3.6827664375305176
Sadeq Larijani, Iran,India,nationality,0.1319180577993393,0.012175081297755241,2.3827896118164062,True,4.177520751953125,0.0004950063303112984,0.004903143737465143,-2.2930612564086914,False,5.091824531555176,0.131423051469028,-0.007271937560290098,0.9143037796020508,-4.675850868225098
Camp Academia, Antarctica,Europe,other,0.01226725708693266,0.019878141582012177,-0.48268699645996094,False,6.580224990844727,0.00023026370035950094,0.0031594468746334314,-2.618927001953125,False,3.8549551963806152,0.012036993386573158,-0.016718694707378745,-2.7252697944641113,-2.136240005493164
Lev Kulidzhanov, Russian,French,other,0.06299412250518799,1.9610606614151038e-05,8.074726104736328,True,0.8274053335189819,0.0006378530524671078,0.0007567913271486759,-0.17097949981689453,False,4.906727313995361,0.06235626945272088,0.0007371807205345249,4.079321980476379,-8.245705604553223
High Performance File System, Microsoft,Adobe,science,0.06556440144777298,0.0027300447691231966,3.1787147521972656,True,6.286108016967773,0.0003492440446279943,0.00040861344314180315,-0.1569986343383789,False,4.500749588012695,0.06521515740314499,-0.0023214313259813935,-1.7853584289550781,-3.3357133865356445
Kingdom of Afghanistan, Kabul,Salvador,geography,0.8855327367782593,1.39450384573081e-09,20.269161224365234,True,0.7740604877471924,0.0007630953332409263,8.047657502174843e-06,4.552002429962158,False,4.167625904083252,0.8847696414450184,8.046262998329112e-06,3.3935654163360596,-15.717158794403076
National Museum Cardiff, Cardiff,California,other,0.01345046516507864,3.621566065703519e-05,5.9172773361206055,False,2.531155586242676,0.0021671620197594166,0.0035559609532356262,-0.4952068328857422,False,5.670544624328613,0.011283303145319223,0.003519745292578591,3.1393890380859375,-6.412484169006348
Vincenzo Santopadre, Italy,Cuba,nationality,0.23315377533435822,0.0004778261645697057,6.190206527709961,True,4.485966682434082,0.002412186935544014,0.0038647272158414125,-0.4713573455810547,False,4.757401943206787,0.2307415883988142,0.003386901051271707,0.2714352607727051,-6.661563873291016
Bimal Roy, India,Kazakhstan,nationality,0.3142446279525757,7.240108243422583e-05,8.37570571899414,True,3.575434684753418,0.0013323629973456264,5.935939498158405e-06,5.4136834144592285,False,4.451366901397705,0.31291226495523006,-6.646514293606742e-05,0.8759322166442871,-2.962022304534912
Jean Rotrou, French,Dutch,other,0.048027798533439636,0.0009914522524923086,3.880364418029785,True,1.1115102767944336,0.0008411395247094333,0.00016453202988486737,1.6316523551940918,False,4.558321475982666,0.0471866590087302,-0.0008269202226074412,3.4468111991882324,-2.2487120628356934
Juan de Juanes, Spain,Canada,other,0.04810009524226189,0.0007935395697131753,4.104536056518555,True,5.106827259063721,0.0023743335623294115,0.015608659945428371,-1.8831090927124023,False,5.7135515213012695,0.045725761679932475,0.014815120375715196,0.6067242622375488,-5.987645149230957
Kaka Hathrasi, India,Japan,nationality,0.02685503289103508,0.0017457319190725684,2.733279228210449,True,4.714395046234131,0.0014618132263422012,0.0020518056116998196,-0.33904266357421875,False,5.075423240661621,0.02539321966469288,0.00030607369262725115,0.36102819442749023,-3.072321891784668
Windows Server 2003, Microsoft,Google,other,0.2873440682888031,5.754462108598091e-05,8.515874862670898,True,2.740626335144043,0.01587851718068123,0.005446509458124638,1.0699920654296875,False,4.126972198486328,0.27146555110812187,0.005388964837038657,1.3863458633422852,-7.445882797241211
Aakhari Poratam, India,Canada,other,0.032183241099119186,0.0003045783960260451,4.660272598266602,True,6.456655979156494,0.0029863452073186636,0.007252739742398262,-0.8873291015625,False,5.599302768707275,0.029196895891800523,0.006948161346372217,-0.8573532104492188,-5.547601699829102
BMW X5, BMW,Honda,other,0.23540784418582916,0.0004570300516206771,6.244325637817383,True,4.465991020202637,0.024953627958893776,0.007571847643703222,1.192582130432129,True,2.659574508666992,0.2104542162269354,0.007114817592082545,-1.8064165115356445,-5.051743507385254
Hippolyte Le Bas, Paris,Berlin,geography,0.03001490607857704,0.0009084537159651518,3.4977054595947266,True,6.3888726234436035,3.14915923809167e-05,3.613212174968794e-05,-0.13746166229248047,False,3.93365478515625,0.029983414486196125,-0.0008723215942154638,-2.4552178382873535,-3.635167121887207
Air Jordan product line, Nike,Jakarta,other,0.013409826904535294,5.932693511567777e-06,7.723264694213867,True,5.403598308563232,0.0011207190109416842,0.03687944635748863,-3.4936838150024414,False,3.5329840183258057,0.01228910789359361,0.036873513663977064,-1.8706142902374268,-11.216948509216309
Microsoft Compiled HTML Help, Microsoft,Apple,science,0.15801750123500824,0.0005579596618190408,5.646174430847168,True,5.845797538757324,0.0038572694174945354,0.005078274756669998,-0.2750120162963867,False,4.523173809051514,0.1541602318175137,0.004520315094850957,-1.3226237297058105,-5.921186447143555
BMW M3, BMW,Ferrari,science,0.6237403750419617,0.00022203472326509655,7.940655708312988,True,2.5201187133789062,0.01496828906238079,0.009218854829668999,0.4846830368041992,False,4.318333148956299,0.6087720859795809,0.008996820106403902,1.7982144355773926,-7.455972671508789
Vladimir Vinogradov, Russian,French,other,0.0077407872304320335,1.9061992134083994e-05,6.006562232971191,True,1.023550033569336,0.010547398589551449,0.0036298169288784266,1.066697120666504,False,5.582417011260986,-0.0028066113591194153,0.0036107549367443426,4.55886697769165,-4.9398651123046875
Erick van Egeraat, Dutch,English,language,0.18380430340766907,0.023131249472498894,2.0726871490478516,True,5.382199764251709,0.2544417679309845,0.0017253914847970009,4.993618011474609,True,4.713135242462158,-0.07063746452331543,-0.021405857987701893,-0.6690645217895508,2.920930862426758
Taito Corporation, Tokyo,Chennai,other,0.15519945323467255,5.5679531214991584e-05,7.932854175567627,True,4.93034553527832,0.0009668380371294916,0.003523904597386718,-1.2932939529418945,False,2.6082053184509277,0.15423261519754305,0.003468225066171726,-2.3221402168273926,-9.226148128509521
Matt Flynn, quarterback,midfielder,occupation,0.04462220147252083,0.00012216267350595444,5.900633335113525,True,5.724969863891602,9.56233125180006e-05,0.00010571683378657326,-0.10034751892089844,False,4.8407392501831055,0.04452657816000283,-1.6445839719381183e-05,-0.8842306137084961,-6.000980854034424
"William Scott, 1st Baron Stowell", London,Paris,occupation,0.04256434366106987,0.0020722365006804466,3.022388458251953,True,3.720247507095337,0.0012153655989095569,0.0012638766784220934,-0.0391387939453125,False,4.50803804397583,0.04134897806216031,-0.0008083598222583532,0.7877905368804932,-3.0615272521972656
A las Barricadas, Spanish,Welsh,other,0.0697346031665802,9.621259232517332e-05,6.5858917236328125,True,5.331426620483398,0.00188854755833745,0.0094564538449049,-1.6108894348144531,False,4.234972953796387,0.06784605560824275,0.009360241252579726,-1.0964536666870117,-8.196781158447266
Abdul Malik Pahlawan, Afghanistan,Mali,nationality,0.030291792005300522,0.000844314694404602,3.580106735229492,False,3.8296852111816406,2.7332758691045456e-05,0.0002474352659191936,-2.2030625343322754,False,4.3907790184021,0.030264459246609476,-0.0005968794284854084,0.561093807220459,-5.783169269561768
Vladimir Bukovsky, Russian,French,other,0.5307995676994324,0.007036352064460516,4.323294639587402,True,2.325258731842041,0.008007269352674484,0.003180464031174779,0.9233226776123047,False,5.066471576690674,0.5227922983467579,-0.003855888033285737,2.741212844848633,-3.3999719619750977
Vaughan Inlet, Antarctica,Africa,other,0.020295854657888412,0.0047943987883627415,1.4429683685302734,False,5.743714332580566,0.0003166309033986181,0.00046259144437499344,-0.3791074752807617,False,4.23989725112915,0.019979223754489794,-0.004331807343987748,-1.503817081451416,-1.8220758438110352
Galileo Galilei, astronomy,manga,occupation,0.21774055063724518,6.597435913135996e-07,12.706963539123535,True,5.126629829406738,9.412096005689818e-06,0.003547179512679577,-5.931912422180176,False,4.998852729797363,0.2177311385412395,0.0035465197690882633,-0.127777099609375,-18.63887596130371
Uwais Qarni, Islam,Buddhism,other,0.3540065884590149,0.004551290534436703,4.353904724121094,True,4.187901973724365,0.17269231379032135,0.0013278182595968246,4.867974281311035,True,4.877130031585693,0.18131427466869354,-0.003223472274839878,0.6892280578613281,0.5140695571899414
Margaret Atwood, Canada,Japan,nationality,0.10010457783937454,0.0024652848951518536,3.7039079666137695,True,4.316489219665527,0.001312111970037222,0.007063723169267178,-1.6833343505859375,False,5.25832462310791,0.09879246586933732,0.004598438274115324,0.9418354034423828,-5.387242317199707
Je te rends ton amour, French,Spanish,other,0.14421473443508148,0.0006674373289570212,5.375613212585449,True,4.902590751647949,0.01562969572842121,0.0029357189778238535,1.672220230102539,False,3.416369915008545,0.12858503870666027,0.0022682816488668323,-1.4862208366394043,-3.70339298248291
Yahoo! Sports, Yahoo,Sony,other,0.0695534273982048,6.382400897564366e-05,6.9937214851379395,True,4.723159313201904,0.025273848325014114,0.0017794511513784528,2.6534652709960938,True,4.412487983703613,0.04427957907319069,0.0017156271424028091,-0.310671329498291,-4.340256214141846
Giunta Pisano, Italian,French,language,0.19073806703090668,0.006568984594196081,3.368541717529297,True,5.398599624633789,0.4652918875217438,0.0035322036128491163,4.880743026733398,True,3.6378931999206543,-0.2745538204908371,-0.003036780981346965,-1.7607064247131348,1.5122013092041016
Danish Wikipedia, Danish,Russian,language,0.004840432200580835,0.0005353413871489465,2.201854705810547,False,5.773098468780518,0.13346053659915924,0.0049795727245509624,3.288461685180664,True,4.233672142028809,-0.1286201043985784,0.004444231337402016,-1.539426326751709,1.0866069793701172
The Sarah Jane Adventures, English,Korean,language,0.06776256859302521,0.000656084856018424,4.63747501373291,True,5.5787482261657715,0.09589594602584839,0.022914107888936996,1.4315109252929688,True,4.570404529571533,-0.02813337743282318,0.022258023032918572,-1.0083436965942383,-3.2059640884399414
Ontario Hydro, Toronto,Milan,geography,0.3602428734302521,6.619165651500225e-05,8.60197925567627,True,3.511312484741211,0.0039869071915745735,0.0008251885883510113,1.5751590728759766,False,3.382230520248413,0.3562559662386775,0.000758996931836009,-0.12908196449279785,-7.026820182800293
Cyprus, Turkish,English,language,0.022942930459976196,0.10861203819513321,-1.5547723770141602,True,3.3397762775421143,0.030297987163066864,0.00891924649477005,1.222869873046875,False,3.879488945007324,-0.007355056703090668,-0.09969279170036316,0.53971266746521,2.777642250061035
Duniya Na Mane, Hindi,English,language,0.02623732201755047,0.01845313236117363,0.35194873809814453,True,6.013145446777344,0.0511634424328804,0.0016377532156184316,3.441699981689453,True,5.076557159423828,-0.024926120415329933,-0.016815379145555198,-0.9365882873535156,3.0897512435913086
BMW Z1, BMW,Toyota,other,0.1979133039712906,0.0006251836894080043,5.757538795471191,True,4.380198001861572,0.017141170799732208,0.004470202140510082,1.3440494537353516,True,2.7281928062438965,0.18077213317155838,0.003845018451102078,-1.6520051956176758,-4.41348934173584
K. R. Gowri Amma, India,Canada,nationality,0.05414822697639465,0.0006354388897307217,4.445164680480957,True,5.604806900024414,0.0007297596312128007,0.00013643283455166966,1.6768827438354492,False,5.088679790496826,0.05341846734518185,-0.0004990060551790521,-0.5161271095275879,-2.768281936645508
BMW M30, BMW,Toyota,science,0.6095690131187439,0.0003947176446672529,7.342336654663086,True,2.7597596645355225,0.018299171701073647,0.004298473242670298,1.4485960006713867,False,4.349365711212158,0.5912698414176702,0.0039037555980030447,1.5896060466766357,-5.893740653991699
Literaturnaya Gazeta, Russian,Chinese,other,0.11890404671430588,0.00013326994667295367,6.793695449829102,True,4.910821437835693,0.022914843633770943,0.002547111129388213,2.1968250274658203,False,4.2175469398498535,0.09598920308053493,0.0024138411827152595,-0.6932744979858398,-4.596870422363281
Marcel Mouloudji, French,Dutch,other,0.5060951709747314,0.0029925808776170015,5.130588531494141,True,3.07914662361145,0.014947149902582169,0.0035193334333598614,1.446249008178711,False,4.951296806335449,0.4911480210721493,0.0005267525557428598,1.872150182723999,-3.6843395233154297
Adobe FreeHand, Adobe,Sega,science,0.13715104758739471,3.3137416721729096e-06,10.630760192871094,True,5.88844108581543,0.0020705084316432476,0.0006251007434912026,1.197636604309082,False,3.86214542388916,0.13508053915575147,0.0006217870018190297,-2.0262956619262695,-9.433123588562012
Omar Abdel-Rahman, Islam,Christianity,other,0.6098225712776184,0.002509463345631957,5.493099212646484,True,1.9004082679748535,0.2610166668891907,0.003980449866503477,4.183189392089844,True,3.7832415103912354,0.34880590438842773,0.00147098652087152,1.8828332424163818,-1.3099098205566406
Do Not Disturb, English,French,language,0.10778526216745377,0.01888592541217804,1.7417240142822266,True,5.8320159912109375,0.20495867729187012,0.018706344068050385,2.3939456939697266,True,4.2710371017456055,-0.09717341512441635,-0.00017958134412765503,-1.560978889465332,0.6522216796875
Montreal World Film Festival, Montreal,Milan,geography,0.09066902101039886,6.580477474926738e-06,9.530863761901855,True,2.7766480445861816,0.0014478217344731092,0.00029635539976879954,1.5862560272216797,False,2.669802665710449,0.08922119927592576,0.0002897749222938728,-0.10684537887573242,-7.944607734680176
Michel d'Ornano, French,Swedish,language,0.11490689218044281,0.0002745088713709265,6.036893844604492,True,5.073596000671387,0.14619171619415283,0.0012289871228858829,4.778728485107422,True,4.488636016845703,-0.03128482401371002,0.0009544782515149564,-0.5849599838256836,-1.2581653594970703
Def Poetry, HBO,MTV,other,0.010355906561017036,0.0027059060521423817,1.3421201705932617,False,5.9514689445495605,0.0012829572660848498,0.01135647390037775,-2.1806201934814453,False,5.1331562995910645,0.009072949294932187,0.008650567848235369,-0.8183126449584961,-3.522740364074707
Cambridge United F.C., Cambridge,Tehran,geography,0.4018391966819763,8.039419299166184e-06,10.819450378417969,True,3.541195869445801,0.000122476601973176,0.0023095838259905577,-2.9369025230407715,False,3.536452054977417,0.40171672008000314,0.0023015444066913915,-0.004743814468383789,-13.75635290145874
Chanel, Paris,Sweden,other,0.29536905884742737,0.00020997130195610225,7.24901008605957,True,3.8934288024902344,0.001641821232624352,0.0019321320578455925,-0.16281795501708984,False,4.353270530700684,0.293727237614803,0.0017221607558894902,0.4598417282104492,-7.41182804107666
Thailand, Asia,Antarctica,other,0.6268427968025208,0.0005874252528883517,6.9727020263671875,True,2.152843952178955,0.004150780383497477,0.0032646721228957176,0.24013710021972656,False,4.715130805969238,0.6226920164190233,0.002677246870007366,2.562286853790283,-6.732564926147461
Renault 4, Renault,Sony,science,0.13232959806919098,0.00019800498557742685,6.504758834838867,True,6.185929775238037,0.0198309738188982,0.01109926588833332,0.5803661346435547,False,4.163589954376221,0.11249862425029278,0.010901260902755894,-2.0223398208618164,-5.9243927001953125
Scott Island, Antarctica,Europe,other,0.17715513706207275,0.03428248316049576,1.6423912048339844,True,3.950300931930542,0.0027305178809911013,0.00637401407584548,-0.8477382659912109,False,4.531530380249023,0.17442461918108165,-0.027908469084650278,0.5812294483184814,-2.4901294708251953
Patrick Chamoiseau, French,Dutch,language,0.49490487575531006,0.0015133280539885163,5.7900543212890625,True,3.7448980808258057,0.5992192625999451,0.001964614959433675,5.720331192016602,True,2.945124626159668,-0.10431438684463501,0.0004512869054451585,-0.7997734546661377,-0.06972312927246094
Henrik Lundqvist, goaltender,midfielder,occupation,0.052990179508924484,1.3405062418314628e-05,8.28222942352295,True,4.7218475341796875,0.0001517148339189589,4.5788030547555536e-05,1.1979799270629883,False,4.578803062438965,0.052838464675005525,3.238296812924091e-05,-0.14304447174072266,-7.084249496459961
HBO World Championship Boxing, HBO,NBC,other,0.15544022619724274,0.0041295383125543594,3.6280956268310547,True,4.5366106033325195,5.346319085219875e-06,7.278659268195042e-06,-0.30853843688964844,False,3.2972569465637207,0.15543487987815752,-0.004122259653286164,-1.2393536567687988,-3.936634063720703
Gita Sahgal, Mumbai,Rome,other,0.03849302977323532,4.3363459553802386e-05,6.7886152267456055,True,4.408321380615234,0.015263629145920277,0.009419464506208897,0.4826946258544922,False,4.977265357971191,0.023229400627315044,0.009376101046655094,0.568943977355957,-6.305920600891113
Aleksey Khomyakov, Russian,French,other,0.4980275630950928,0.007434394676238298,4.204538345336914,True,2.152724266052246,0.024486184120178223,0.0042274631559848785,1.7565069198608398,False,4.978660583496094,0.47354137897491455,-0.00320693152025342,2.8259363174438477,-2.448031425476074
WWE, Stamford,Beijing,geography,0.9412481784820557,1.5041688357086969e-06,13.346721649169922,True,0.4553157091140747,0.00010520061914576218,0.00958948489278555,-4.5125532150268555,False,3.1979165077209473,0.9411429778629099,0.00958798072394984,2.7426007986068726,-17.859274864196777
Qutbuddin Bakhtiar Kaki, Islam,Judaism,other,0.029038265347480774,7.619871212227736e-06,8.245611190795898,True,4.835925579071045,0.13260246813297272,0.005332984030246735,3.213444709777832,True,5.06403923034668,-0.10356420278549194,0.005325364159034507,0.22811365127563477,-5.032166481018066
Charles de Salaberry, Canada,Norway,nationality,0.01440624613314867,0.0017190751386806369,2.125875473022461,False,4.343076229095459,0.0008598238928243518,0.0028160240035504103,-1.1863536834716797,False,5.036588668823242,0.013546422240324318,0.0010969488648697734,0.6935124397277832,-3.3122291564941406
Pierre Blanchar, French,Dutch,language,0.4869869351387024,0.0025133287999778986,5.266629219055176,True,3.7869157791137695,0.4595380425453186,0.0029454808682203293,5.049949645996094,True,3.645045518875122,0.02744889259338379,0.0004321520682424307,-0.14187026023864746,-0.21667957305908203
Lyndon B. Johnson Space Center, Houston,Montreal,other,0.5452668070793152,2.5668798571132356e-06,12.266339302062988,True,2.76351261138916,0.001274336245842278,0.004185905680060387,-1.1892976760864258,False,5.532455921173096,0.5439924708334729,0.004183338800203273,2.7689433097839355,-13.455636978149414
Dr. Babasaheb Ambedkar Marathwada University, India,Virginia,other,0.008056871592998505,9.432987098989543e-06,6.750067234039307,False,4.987462997436523,0.0039086854085326195,0.00020625047909561545,2.9418649673461914,False,3.306093692779541,0.004148186184465885,0.0001968174919966259,-1.6813693046569824,-3.8082022666931152
Boston Navy Yard, Boston,Florence,geography,0.05039782077074051,1.3892680499338894e-06,10.498926162719727,True,3.345020294189453,0.011118507012724876,0.00010587985889287665,4.654061317443848,False,2.8363165855407715,0.03927931375801563,0.00010449059084294277,-0.5087037086486816,-5.844864845275879
Murphy Brown, CBS,HBO,other,0.031249329447746277,0.011073149740695953,1.0374746322631836,True,4.723108291625977,0.00046021927846595645,0.01117518451064825,-3.1897478103637695,False,4.345646858215332,0.03078911016928032,0.00010203476995229721,-0.37746143341064453,-4.227222442626953
Google Play, Google,Intel,science,0.29479464888572693,0.0003777511592488736,6.659798622131348,True,3.589445114135742,0.007770315743982792,0.002400895580649376,1.174468994140625,False,5.4407196044921875,0.28702433314174414,0.0020231444214005023,1.8512744903564453,-5.485329627990723
Olga Georges-Picot, French,Russian,language,0.5229747295379639,0.0007467353134416044,6.551577568054199,True,3.248782157897949,0.4465305507183075,0.0003105930518358946,7.270779609680176,True,3.4815452098846436,0.07644417881965637,-0.0004361422616057098,0.23276305198669434,0.7192020416259766
Pennsylvania State Capitol, Pennsylvania,Microsoft,other,0.0070247771218419075,1.3444061551126651e-05,6.258661270141602,False,3.752110242843628,0.0012421841965988278,0.0024694357998669147,-0.6871185302734375,False,5.529058933258057,0.00578259292524308,0.002455991738315788,1.7769486904144287,-6.945779800415039
Manuel Uribe, Mexico,France,nationality,0.10601042211055756,0.006763519253581762,2.7519941329956055,True,3.8624632358551025,0.0001063243907992728,0.001085268217138946,-2.323087692260742,False,4.83096170425415,0.10590409771975828,-0.005678251036442816,0.9684984683990479,-5.075081825256348
Eduard Marxsen, Hamburg,Cologne,geography,0.01400646474212408,0.003919182810932398,1.2736358642578125,False,6.243110656738281,0.00011738315515685827,0.0003071439568884671,-0.9618730545043945,False,4.3553361892700195,0.013889081586967222,-0.0036120388540439308,-1.8877744674682617,-2.235508918762207
Svenska Hollywoodfruar, Sweden,Japan,science,0.09637361764907837,0.0002911189803853631,5.802255630493164,True,4.459394454956055,0.0032638406846672297,0.00023431777663063258,2.633981704711914,False,4.525015830993652,0.09310977696441114,-5.680120375473052e-05,0.06562137603759766,-3.16827392578125
Nissan Laurel, Nissan,Honda,science,0.02690189704298973,0.001013587461784482,3.278700828552246,True,6.278370380401611,0.008782423101365566,0.0077110035344958305,0.13010406494140625,False,4.006313800811768,0.018119473941624165,0.0066974160727113485,-2.2720565795898438,-3.14859676361084
Dziga Vertov, Moscow,Rome,other,0.09711422026157379,0.0002801509981509298,5.84831428527832,True,4.4706854820251465,0.002509278943762183,0.0018452501390129328,0.30738067626953125,False,5.032493591308594,0.09460494131781161,0.001565099140862003,0.5618081092834473,-5.540933609008789
Christopher Lambert, French,Russian,language,0.06024346500635147,0.0021853127982467413,3.3166351318359375,True,5.647581100463867,0.06865488737821579,0.004650720860809088,2.6920700073242188,True,5.359417915344238,-0.008411422371864319,0.0024654080625623465,-0.2881631851196289,-0.6245651245117188
Michael Healy-Rae, Ireland,Sweden,nationality,0.10951517522335052,0.0017848721472546458,4.116716384887695,True,4.102982997894287,0.0049704983830451965,0.0043223584070801735,0.13971900939941406,False,5.091482162475586,0.10454467684030533,0.0025374862598255277,0.9884991645812988,-3.9769973754882812
Renault Alliance, Renault,Nissan,science,0.3786022961139679,0.0011804441455751657,5.770595550537109,True,4.037891864776611,0.10215799510478973,0.004889564588665962,3.039417266845703,True,3.986664295196533,0.27644430100917816,0.0037091204430907965,-0.051227569580078125,-2.7311782836914062
Glitch Mode Recordings, Chicago,Rome,geography,0.01355285756289959,0.000577454105950892,3.1557235717773438,False,5.690973281860352,7.859217294026166e-05,0.0009923055768013,-2.5357589721679688,False,3.175737142562866,0.013474265389959328,0.0004148514708504081,-2.5152361392974854,-5.6914825439453125
Chevrolet S-10 Blazer, Chevrolet,Honda,science,0.09011867642402649,0.0034652925096452236,3.2583303451538086,True,6.599482536315918,0.008216149173676968,0.012744063511490822,-0.4389638900756836,False,4.215738773345947,0.08190252725034952,0.009278771001845598,-2.3837437629699707,-3.697294235229492
