subject,expected,false,category,ctrl_prob_correct,ctrl_prob_false,ctrl_logit_diff,ctrl_in_top5,ctrl_entropy,neg_prob_correct,neg_prob_false,neg_logit_diff,neg_in_top5,neg_entropy,prob_drop,false_boost,entropy_change,logit_diff_change
Comedy of Power, French,Italian,language,0.0180088859051466,0.00304676522500813,1.776784896850586,True,6.624341011047363,0.027203962206840515,0.06665895879268646,-0.8962268829345703,False,5.224719047546387,-0.009195076301693916,0.06361219356767833,-1.3996219635009766,-2.6730117797851562
Tomoko Kawase, Japan,Ireland,nationality,0.3914873003959656,0.0014425668632611632,5.60352897644043,True,3.849705457687378,0.0001966821146197617,0.0002465111901983619,-0.22581863403320312,False,4.764289855957031,0.3912906182813458,-0.0011960556730628014,0.9145843982696533,-5.829347610473633
The Purple Taxi, French,English,language,0.027626371011137962,0.11359838396310806,-1.4138984680175781,True,6.118199348449707,0.02284112758934498,0.011118147522211075,0.7199840545654297,False,5.220595359802246,0.004785243421792984,-0.10248023644089699,-0.8976039886474609,2.133882522583008
MSX-DOS, Microsoft,Adobe,science,0.12345358729362488,0.0009962978074327111,4.819574356079102,True,6.1241865158081055,0.00115189456846565,4.6277033106889576e-05,3.2145180702209473,False,4.9055609703063965,0.12230169272515923,-0.0009500207743258215,-1.218625545501709,-1.6050562858581543
Sadeq Larijani, Iran,India,nationality,0.10450346767902374,0.018130840733647346,1.7516059875488281,True,3.9920220375061035,0.0007642878917977214,0.00120687170419842,-0.45684242248535156,False,5.026636600494385,0.10373917978722602,-0.016923969029448926,1.0346145629882812,-2.2084484100341797
Camp Academia, Antarctica,Europe,other,0.040098197758197784,0.046329889446496964,-0.1444559097290039,True,5.613215446472168,6.70173394610174e-05,0.0014494402566924691,-3.073981285095215,False,4.973986625671387,0.04003118041873677,-0.044880449189804494,-0.6392288208007812,-2.929525375366211
Lev Kulidzhanov, Russian,French,other,0.013237947598099709,1.880548916233238e-05,6.556694030761719,True,0.46833720803260803,0.0005993629456497729,0.00026001629885286093,0.8351230621337891,False,5.187329292297363,0.012638584652449936,0.00024121080969052855,4.718992084264755,-5.72157096862793
High Performance File System, Microsoft,Adobe,science,0.028427138924598694,0.007229798473417759,1.3691329956054688,True,7.225522041320801,0.0004342052561696619,0.0001602258562343195,0.9969329833984375,False,4.366611003875732,0.027992933668429032,-0.007069572617183439,-2.8589110374450684,-0.37220001220703125
Kingdom of Afghanistan, Kabul,Salvador,geography,0.8618570566177368,2.408990873448147e-08,17.392807006835938,True,1.031188726425171,0.0002628593356348574,1.7782585928216577e-05,2.693399429321289,False,5.379975318908691,0.861594197282102,1.7758496019482095e-05,4.3487865924835205,-14.699407577514648
National Museum Cardiff, Cardiff,California,other,0.3210606873035431,9.078280709218234e-05,8.170915603637695,True,3.6367008686065674,0.002044606488198042,0.0015869198832660913,0.25341033935546875,False,6.003376007080078,0.31901608081534505,0.001496137076173909,2.3666751384735107,-7.917505264282227
Vincenzo Santopadre, Italy,Cuba,nationality,0.06687245517969131,0.0016824258491396904,3.6825504302978516,True,5.417853832244873,0.0007113197352737188,0.0018553558038547635,-0.958709716796875,False,5.406359672546387,0.0661611354444176,0.0001729299547150731,-0.011494159698486328,-4.641260147094727
Bimal Roy, India,Kazakhstan,nationality,0.15657445788383484,0.0016392407706007361,4.559298515319824,True,4.894562721252441,0.0003130745026282966,1.1737478416762315e-05,3.28365421295166,False,5.102592468261719,0.15626138338120654,-0.0016275032921839738,0.20802974700927734,-1.275644302368164
Jean Rotrou, French,Dutch,other,0.01165714394301176,0.0007458447944372892,2.749156951904297,True,0.920532763004303,0.0009245182736776769,0.000262393121374771,1.2594289779663086,False,5.144248008728027,0.010732625669334084,-0.00048345167306251824,4.223715245723724,-1.4897279739379883
Juan de Juanes, Spain,Canada,other,0.04017699882388115,0.0010351676028221846,3.658731460571289,True,5.942851543426514,0.0003692403552122414,0.002881465246900916,-2.0546064376831055,False,5.926243305206299,0.03980775846866891,0.0018462976440787315,-0.016608238220214844,-5.7133378982543945
Kaka Hathrasi, India,Japan,nationality,0.17746438086032867,0.002306251786649227,4.343146324157715,True,4.59322452545166,0.000766327022574842,0.00012075905397068709,1.8478116989135742,False,4.949936866760254,0.17669805383775383,-0.00218549273267854,0.35671234130859375,-2.4953346252441406
Windows Server 2003, Microsoft,Google,other,0.42492803931236267,0.00047912480658851564,6.787714004516602,True,3.0928549766540527,0.0237936619669199,0.02459760569036007,-0.033229827880859375,False,5.129329681396484,0.40113437734544277,0.024118480883771554,2.0364747047424316,-6.820943832397461
Aakhari Poratam, India,Canada,other,0.013702022843062878,0.0003073786501772702,3.7972183227539062,True,6.968879699707031,0.0010695637902244925,0.0007254305528476834,0.3882408142089844,False,5.379982948303223,0.012632459052838385,0.00041805190267041326,-1.5888967514038086,-3.408977508544922
BMW X5, BMW,Honda,other,0.21364600956439972,0.0022932414431124926,4.534354209899902,True,4.931706428527832,0.0061075505800545216,0.05574004724621773,-2.2111730575561523,False,4.492089748382568,0.2075384589843452,0.053446805803105235,-0.43961668014526367,-6.745527267456055
Hippolyte Le Bas, Paris,Berlin,geography,0.02444838359951973,0.004902475047856569,1.6068239212036133,True,6.738399505615234,4.711104338639416e-05,1.6313673768308945e-05,1.0605039596557617,False,3.1134700775146484,0.024401272556133335,-0.00488616137408826,-3.624929428100586,-0.5463199615478516
Air Jordan product line, Nike,Jakarta,other,0.018688611686229706,4.817208900931291e-05,5.96088981628418,True,6.536243915557861,0.0012629363918676972,0.03520125895738602,-3.3276424407958984,False,4.9579620361328125,0.01742567529436201,0.035153086868376704,-1.5782818794250488,-9.288532257080078
Microsoft Compiled HTML Help, Microsoft,Apple,science,0.020002689212560654,0.0007788779912516475,3.245767593383789,True,7.125409126281738,0.005661811213940382,0.0032439890783280134,0.5569400787353516,False,4.997323036193848,0.014340877998620272,0.002465111087076366,-2.1280860900878906,-2.6888275146484375
BMW M3, BMW,Ferrari,science,0.244390070438385,0.0020384667441248894,4.786567687988281,True,5.670127868652344,0.01847132481634617,0.015118155628442764,0.20032310485839844,False,5.091377258300781,0.22591874562203884,0.013079688884317875,-0.5787506103515625,-4.586244583129883
Vladimir Vinogradov, Russian,French,other,0.0191414263099432,9.099336602957919e-05,5.348823547363281,True,1.6453008651733398,0.0005042330594733357,0.00034679495729506016,0.37430477142333984,False,5.3789191246032715,0.018637193250469863,0.00025580159126548097,3.7336182594299316,-4.974518775939941
Erick van Egeraat, Dutch,English,language,0.11669785529375076,0.04301927238702774,0.9979400634765625,True,5.657163619995117,0.16907905042171478,0.005330427549779415,3.456934928894043,True,4.940296173095703,-0.05238119512796402,-0.037688844837248325,-0.7168674468994141,2.4589948654174805
Taito Corporation, Tokyo,Chennai,other,0.03603646159172058,0.00015373739006463438,5.457040786743164,True,4.595014572143555,0.01820979453623295,0.01368107832968235,0.2859458923339844,False,4.323014259338379,0.017826667055487633,0.013527340939617716,-0.2720003128051758,-5.17109489440918
Matt Flynn, quarterback,midfielder,occupation,0.016978181898593903,0.00010229380131931975,5.111835479736328,True,7.164166450500488,1.045799672283465e-05,1.0258444262944977e-06,2.321850299835205,False,5.317995071411133,0.016967723901871068,-0.00010126795689302526,-1.8461713790893555,-2.789985179901123
"William Scott, 1st Baron Stowell", London,Paris,occupation,0.0380571223795414,0.00470007536932826,2.0915098190307617,True,5.246533393859863,5.319997217156924e-05,3.7977468309691176e-05,0.3370647430419922,False,4.063266277313232,0.03800392240736983,-0.004662097901018569,-1.1832671165466309,-1.7544450759887695
A las Barricadas, Spanish,Welsh,other,0.08046495914459229,0.0001480987120885402,6.297698020935059,True,6.326050758361816,0.01893053948879242,0.011758948676288128,0.4761619567871094,False,5.584590435028076,0.061534419655799866,0.011610849964199588,-0.7414603233337402,-5.821536064147949
Abdul Malik Pahlawan, Afghanistan,Mali,nationality,0.029756397008895874,0.0011428875150159001,3.259486198425293,True,3.954163074493408,5.337796392268501e-05,1.1744662515411619e-05,1.5139989852905273,False,5.022479057312012,0.02970301904497319,-0.0011311428525004885,1.0683159828186035,-1.7454872131347656
Vladimir Bukovsky, Russian,French,other,0.67234206199646,0.008815336041152477,4.3342742919921875,True,2.0665056705474854,0.003205964807420969,0.0014628772623836994,0.7846078872680664,False,5.115167617797852,0.669136097189039,-0.007352458778768778,3.048661947250366,-3.549666404724121
Vaughan Inlet, Antarctica,Africa,other,0.0238998681306839,0.023854074999690056,0.0019178390502929688,True,6.093111515045166,0.00011686207290040329,0.002552783815190196,-3.0839452743530273,False,5.201237201690674,0.023783006057783496,-0.02130129118449986,-0.8918743133544922,-3.0858631134033203
Galileo Galilei, astronomy,manga,occupation,0.022825609892606735,6.099350684962701e-06,8.227456092834473,True,7.405348777770996,6.774354801564186e-07,2.4678189220139757e-05,-3.59536075592041,False,5.433026313781738,0.02282493245712658,1.8578838535177056e-05,-1.9723224639892578,-11.822816848754883
Uwais Qarni, Islam,Buddhism,other,0.1760900914669037,0.010069099254906178,2.8615245819091797,True,5.068237781524658,0.11017530411481857,0.012145658023655415,2.2051010131835938,True,5.113105773925781,0.06591478735208511,0.002076558768749237,0.04486799240112305,-0.6564235687255859
Margaret Atwood, Canada,Japan,nationality,0.1000184714794159,0.005099280271679163,2.976255416870117,True,5.052855014801025,0.0006035607075318694,0.0016640055691823363,-1.0141363143920898,False,5.449891090393066,0.09941491077188402,-0.0034352747024968266,0.397036075592041,-3.990391731262207
Je te rends ton amour, French,Spanish,other,0.04408290237188339,0.002126997569575906,3.031360626220703,True,6.474126815795898,0.024102697148919106,0.011892927810549736,0.7063798904418945,False,5.457892417907715,0.019980205222964287,0.00976593024097383,-1.0162343978881836,-2.3249807357788086
Yahoo! Sports, Yahoo,Sony,other,0.13209548592567444,2.3091730326996185e-05,8.651805877685547,True,5.177586555480957,0.00970159750431776,0.00706776836887002,0.3167457580566406,False,5.940409183502197,0.12239388842135668,0.007044676638543024,0.7628226280212402,-8.335060119628906
Giunta Pisano, Italian,French,language,0.11244504153728485,0.0048082610592246056,3.1521291732788086,True,5.854609966278076,0.2314586341381073,0.009542139247059822,3.18868350982666,True,4.552951335906982,-0.11901359260082245,0.0047338781878352165,-1.3016586303710938,0.03655433654785156
Danish Wikipedia, Danish,Russian,language,0.021122395992279053,0.0003216434270143509,4.184645652770996,True,6.284948825836182,0.06462816894054413,0.025449180975556374,0.9319667816162109,True,5.121830463409424,-0.043505772948265076,0.025127537548542023,-1.1631183624267578,-3.252678871154785
The Sarah Jane Adventures, English,Korean,language,0.1411084681749344,0.0036587838549166918,3.652398109436035,True,6.006583213806152,0.024455109611153603,0.028924988582730293,-0.16786670684814453,False,5.142089366912842,0.11665335856378078,0.0252662047278136,-0.8644938468933105,-3.8202648162841797
Ontario Hydro, Toronto,Milan,geography,0.09192891418933868,0.00021846026356797665,6.042166709899902,True,5.906224727630615,0.0027217725291848183,9.753309132065624e-05,3.3288469314575195,False,5.282035827636719,0.08920714166015387,-0.00012092717224732041,-0.6241888999938965,-2.713319778442383
Cyprus, Turkish,English,language,0.02725718356668949,0.02597680874168873,0.04811286926269531,True,6.011138916015625,0.024145497009158134,0.005747728515416384,1.435293197631836,True,5.252180099487305,0.003111686557531357,-0.020229080226272345,-0.7589588165283203,1.3871803283691406
Duniya Na Mane, Hindi,English,language,0.019654808565974236,0.04604685306549072,-0.8513374328613281,True,6.741664886474609,0.019660450518131256,0.010494057089090347,0.6277999877929688,False,5.8985514640808105,-5.641952157020569e-06,-0.035552795976400375,-0.8431134223937988,1.4791374206542969
BMW Z1, BMW,Toyota,other,0.2906334400177002,0.003559268545359373,4.402507781982422,True,4.561892509460449,0.008672910742461681,0.035694122314453125,-1.4147815704345703,False,4.392899513244629,0.2819605292752385,0.03213485376909375,-0.1689929962158203,-5.817289352416992
K. R. Gowri Amma, India,Canada,nationality,0.12496025860309601,0.0018334225751459599,4.221811294555664,True,5.541348457336426,0.0003241499071009457,0.00011107392492704093,1.0710101127624512,False,5.776871681213379,0.12463610869599506,-0.001722348650218919,0.23552322387695312,-3.150801181793213
BMW M30, BMW,Toyota,science,0.24949607253074646,0.005374728702008724,3.837735176086426,True,5.652800559997559,0.006858841050416231,0.012027588672935963,-0.5616645812988281,False,4.912394046783447,0.24263723148033023,0.0066528599709272385,-0.7404065132141113,-4.399399757385254
Literaturnaya Gazeta, Russian,Chinese,other,0.026705604046583176,0.00082889583427459,3.4725341796875,True,5.846569538116455,0.006248163990676403,0.0021524368785321712,1.0656871795654297,False,5.399347305297852,0.020457440055906773,0.0013235410442575812,-0.4472222328186035,-2.4068470001220703
Marcel Mouloudji, French,Dutch,other,0.24843309819698334,0.005177607294172049,3.870830535888672,True,3.8759002685546875,0.005711374804377556,0.003261414123699069,0.5602989196777344,False,5.07630729675293,0.24272172339260578,-0.0019161931704729795,1.2004070281982422,-3.3105316162109375
Adobe FreeHand, Adobe,Sega,science,0.10423355549573898,7.971645391080528e-05,7.175913333892822,True,6.556826591491699,0.0007602216210216284,0.03260461986064911,-3.758599281311035,False,4.712652683258057,0.10347333387471735,0.032524903406738304,-1.8441739082336426,-10.934512615203857
Omar Abdel-Rahman, Islam,Christianity,other,0.21200990676879883,0.0035362776834517717,4.093558311462402,True,4.7687835693359375,0.0054823653772473335,0.00032897546770982444,2.8133087158203125,False,5.20913028717041,0.2065275413915515,-0.0032073022157419473,0.44034671783447266,-1.2802495956420898
Do Not Disturb, English,French,language,0.0605783686041832,0.010619456879794598,1.7412500381469727,True,6.864861488342285,0.08802156150341034,0.05042702704668045,0.5570545196533203,True,5.37898588180542,-0.027443192899227142,0.03980757016688585,-1.4858756065368652,-1.1841955184936523
Montreal World Film Festival, Montreal,Milan,geography,0.09135577082633972,7.012473361101002e-05,7.1722412109375,True,4.183733940124512,0.01128177810460329,0.002033789176493883,1.7132883071899414,False,4.475166320800781,0.08007399272173643,0.001963664442882873,0.29143238067626953,-5.458952903747559
Michel d'Ornano, French,Swedish,language,0.09994297474622726,0.0004745790211018175,5.349926948547363,True,5.2808518409729,0.15275126695632935,0.011493925005197525,2.5869922637939453,True,5.0936808586120605,-0.05280829221010208,0.011019345984095708,-0.18717098236083984,-2.762934684753418
Def Poetry, HBO,MTV,other,0.028665652498602867,0.005727479699999094,1.6104240417480469,True,5.5004167556762695,0.0006596517050638795,0.002006707014515996,-1.1125383377075195,False,5.806447982788086,0.028006000793538988,-0.003720772685483098,0.3060312271118164,-2.7229623794555664
Cambridge United F.C., Cambridge,Tehran,geography,0.14943554997444153,2.525728450564202e-05,8.685505867004395,True,5.596324920654297,9.713169856695458e-05,0.0009255603654310107,-2.254331588745117,False,4.83317232131958,0.14933841827587457,0.0009003030809253687,-0.7631525993347168,-10.939837455749512
Chanel, Paris,Sweden,other,0.03808513283729553,0.004140814766287804,2.218931198120117,True,5.439192771911621,0.0001515095791546628,0.00180640141479671,-2.478443145751953,False,5.191305160522461,0.03793362325814087,-0.0023344133514910936,-0.24788761138916016,-4.69737434387207
Thailand, Asia,Antarctica,other,0.15206152200698853,0.00020708554075099528,6.598908424377441,True,4.582210540771484,0.0005506738089025021,0.0004969597794115543,0.10263347625732422,False,5.120138168334961,0.15151084819808602,0.00028987423866055906,0.5379276275634766,-6.496274948120117
Renault 4, Renault,Sony,science,0.06957612186670303,0.0002989424974657595,5.449925422668457,True,6.570752143859863,0.0022366177290678024,0.005068499129265547,-0.818079948425293,False,5.00448751449585,0.06733950413763523,0.004769556631799787,-1.5662646293640137,-6.26800537109375
Scott Island, Antarctica,Europe,other,0.059026751667261124,0.024823110550642014,0.866215705871582,True,5.463020324707031,0.00032783421920612454,0.0023677069693803787,-1.9771690368652344,False,5.112885475158691,0.058698917448055,-0.022455403581261635,-0.35013484954833984,-2.8433847427368164
Patrick Chamoiseau, French,Dutch,language,0.3006155490875244,0.008724045939743519,3.5397491455078125,True,4.792693138122559,0.2595027685165405,0.025706559419631958,2.312021255493164,True,4.503194332122803,0.04111278057098389,0.01698251347988844,-0.28949880599975586,-1.2277278900146484
Henrik Lundqvist, goaltender,midfielder,occupation,0.034120745956897736,0.00018947616626974195,5.193397521972656,True,6.0854597091674805,5.632635293295607e-06,1.1698307389451656e-06,1.571718692779541,False,5.210793495178223,0.03411511332160444,-0.0001883063355307968,-0.8746662139892578,-3.6216788291931152
HBO World Championship Boxing, HBO,NBC,other,0.14766797423362732,0.016643093898892403,2.1829710006713867,True,4.502426624298096,3.702793037518859e-05,0.00020329715334810317,-1.7029962539672852,False,3.804335117340088,0.14763094630325213,-0.0164397967455443,-0.6980915069580078,-3.885967254638672
Gita Sahgal, Mumbai,Rome,other,0.01730901189148426,0.00018993101548403502,4.512321472167969,True,5.4684882164001465,0.002719875192269683,0.00047534663463011384,1.7442970275878906,False,5.441163539886475,0.014589136699214578,0.0002854156191460788,-0.027324676513671875,-2.768024444580078
Aleksey Khomyakov, Russian,French,other,0.6718572974205017,0.001749624963849783,5.950644493103027,True,2.0899524688720703,0.006335519254207611,0.002269954653456807,1.026412010192871,False,5.1731438636779785,0.6655217781662941,0.0005203296896070242,3.083191394805908,-4.924232482910156
WWE, Stamford,Beijing,geography,0.028821265324950218,0.0008393695461563766,3.53621768951416,True,5.251975059509277,1.5640234778402373e-05,0.004593857564032078,-5.682628154754639,False,4.8861894607543945,0.028805625090171816,0.003754488017875701,-0.3657855987548828,-9.218845844268799
Qutbuddin Bakhtiar Kaki, Islam,Judaism,other,0.035832785069942474,1.61353873409098e-05,7.70560359954834,True,5.386168003082275,0.022607075050473213,0.0005424800328910351,3.7298669815063477,True,5.558762550354004,0.013225710019469261,0.0005263446455501253,0.17259454727172852,-3.975736618041992
Charles de Salaberry, Canada,Norway,nationality,0.04957694187760353,0.0036540632136166096,2.6076860427856445,True,5.148253440856934,0.00024225607921835035,0.0007865552906878293,-1.1776676177978516,False,5.135895729064941,0.04933468579838518,-0.0028675079229287803,-0.012357711791992188,-3.785353660583496
Pierre Blanchar, French,Dutch,language,0.18623614311218262,0.004541801754385233,3.7136917114257812,True,5.4872565269470215,0.19032445549964905,0.025419075042009354,2.013230323791504,True,4.70677375793457,-0.004088312387466431,0.02087727328762412,-0.7804827690124512,-1.7004613876342773
Lyndon B. Johnson Space Center, Houston,Montreal,other,0.19778668880462646,1.3456145097734407e-05,9.595508575439453,True,4.1685380935668945,0.000274682737654075,0.0003040333103854209,-0.10152053833007812,False,5.679974555969238,0.1975120060669724,0.0002905771652876865,1.5114364624023438,-9.697029113769531
Dr. Babasaheb Ambedkar Marathwada University, India,Virginia,other,0.027548272162675858,0.00021868152543902397,4.836078643798828,True,5.765093803405762,0.009942514821887016,0.000336944533046335,3.3846569061279297,False,4.986297607421875,0.01760575734078884,0.00011826300760731101,-0.7787961959838867,-1.4514217376708984
Boston Navy Yard, Boston,Florence,geography,0.014945737086236477,8.432177310169209e-06,7.480125904083252,True,4.440176010131836,0.00972876138985157,0.002643125830218196,1.3031244277954102,False,5.323697090148926,0.005216975696384907,0.0026346936529080267,0.8835210800170898,-6.177001476287842
Murphy Brown, CBS,HBO,other,0.03229839354753494,0.008699429221451283,1.3117599487304688,True,5.460151672363281,0.00011548253678483889,0.0002197066933149472,-0.6431741714477539,False,3.322895050048828,0.032182911010750104,-0.008479722528136335,-2.137256622314453,-1.9549341201782227
Google Play, Google,Intel,science,0.40857425332069397,0.001316407578997314,5.737767219543457,True,4.436856269836426,0.00424471590667963,0.0007671068888157606,1.7108039855957031,False,5.632968902587891,0.40432953741401434,-0.0005493006901815534,1.1961126327514648,-4.026963233947754
Olga Georges-Picot, French,Russian,language,0.023665225133299828,0.019656017422676086,0.1856231689453125,True,6.4843878746032715,0.03686525672674179,0.030167385935783386,0.20050811767578125,True,5.090551853179932,-0.013200031593441963,0.0105113685131073,-1.3938360214233398,0.01488494873046875
Pennsylvania State Capitol, Pennsylvania,Microsoft,other,0.007964152842760086,6.418497832783032e-06,7.123521327972412,True,2.6056759357452393,0.0013127649435773492,0.04551646113395691,-3.545938491821289,False,6.2313151359558105,0.006651387899182737,0.045510042636124126,3.6256392002105713,-10.669459819793701
Manuel Uribe, Mexico,France,nationality,0.15503130853176117,0.002287086099386215,4.216348648071289,True,3.9046242237091064,0.00019748958584386855,0.0004990041488781571,-0.9269285202026367,False,5.024453163146973,0.1548338189459173,-0.001788081950508058,1.1198289394378662,-5.143277168273926
Eduard Marxsen, Hamburg,Cologne,geography,0.028867509216070175,0.022261053323745728,0.25987815856933594,True,6.066875457763672,4.343087857705541e-05,6.972942355787382e-05,-0.4734516143798828,False,4.239697456359863,0.02882407833749312,-0.022191323900187854,-1.8271780014038086,-0.7333297729492188
Svenska Hollywoodfruar, Sweden,Japan,science,0.01956303045153618,0.0007415313739329576,3.272679328918457,True,5.499366760253906,0.00039930272032506764,0.0004222846182528883,-0.05595970153808594,False,4.469960689544678,0.01916372773121111,-0.00031924675568006933,-1.0294060707092285,-3.328639030456543
Nissan Laurel, Nissan,Honda,science,0.017325667664408684,0.0065483758226037025,0.9729719161987305,True,7.24736213684082,0.003130269469693303,0.040875669568777084,-2.569416046142578,False,4.74509334564209,0.01419539819471538,0.03432729374617338,-2.5022687911987305,-3.5423879623413086
Dziga Vertov, Moscow,Rome,other,0.029554568231105804,0.002978436416015029,2.294839859008789,True,5.674381256103516,3.134753933409229e-05,2.1493562599061988e-05,0.3773818016052246,False,4.216560363769531,0.029523220691771712,-0.002956942853415967,-1.4578208923339844,-1.9174580574035645
Christopher Lambert, French,Russian,language,0.03863798454403877,0.003806306980550289,2.3175764083862305,True,5.5980024337768555,0.07925229519605637,0.018625320866703987,1.4481143951416016,True,5.21689510345459,-0.04061431065201759,0.014819013886153698,-0.3811073303222656,-0.8694620132446289
Michael Healy-Rae, Ireland,Sweden,nationality,0.0279010608792305,0.005174488294869661,1.6849241256713867,True,5.125758647918701,0.0003507375658955425,0.0009466221090406179,-0.9928617477416992,False,5.340529441833496,0.027550323313334957,-0.004227866185829043,0.21477079391479492,-2.677785873413086
Renault Alliance, Renault,Nissan,science,0.03793356567621231,0.001451884745620191,3.2629737854003906,True,6.620999336242676,0.0057234265841543674,0.01494667213410139,-0.9599208831787109,False,4.875890731811523,0.03221013909205794,0.0134947873884812,-1.7451086044311523,-4.222894668579102
Glitch Mode Recordings, Chicago,Rome,geography,0.01815524883568287,0.0012386324815452099,2.6849517822265625,True,6.322638511657715,0.00021073943935334682,0.006844997406005859,-3.4806509017944336,False,4.658515453338623,0.017944509396329522,0.0056063649244606495,-1.6641230583190918,-6.165602684020996
Chevrolet S-10 Blazer, Chevrolet,Honda,science,0.08755546063184738,0.004311550408601761,3.010974884033203,True,6.884053707122803,0.006599790416657925,0.0319858156144619,-1.5782546997070312,False,4.795497894287109,0.08095567021518946,0.027674265205860138,-2.0885558128356934,-4.589229583740234
