sentence1,sentence2,label,target,nes,log_prob_aff,log_prob_neg,failure
Force majeure events excuse both parties from their contractual obligations,No force majeure event happens but one party gets excused from their obligations anyway,0, obligations,10.27331455051899,-0.19939129054546356,-10.472705841064453,True
"If both parties agree to an extension, deadlines can be extended",Both parties agree to an extension and deadlines cannot be extended,1, extended,2.227001667022705,-2.39381742477417,-4.620819091796875,True
"If a person is found guilty of manslaughter, they can be sentenced to prison.",A person is found guilty of manslaughter and they cannot be sentenced to prison.,1,.,-2.3122044801712036,-3.467517137527466,-1.1553126573562622,False
"If you mediate your divorce, the process will be less adversarial.",You mediate your divorce and the process will not be less adversarial.,1,.,-0.37417060136795044,-1.0925660133361816,-0.7183954119682312,False
"If you use your phone while driving, you will be penalized.",You use your phone while driving and you will not be penalized.,1,.,-0.25159752368927,-1.8489891290664673,-1.5973916053771973,False
"If a person files for bankruptcy, their debts may be discharged.","If a person does not file for bankruptcy, their debts may be discharged.",0,.,-0.26073527336120605,-2.2779557704925537,-2.0172204971313477,False
Taking breaks during work increases productivity,Taking breaks during work but not increasing productivity,1, productivity,0.5974490642547607,-3.2167251110076904,-3.814174175262451,True
"If software license fees are not paid annually, access to the software may be revoked.",Software license fees are not paid annually but access to the software remains intact.,1,.,-0.3601875901222229,-0.9004565477371216,-0.5402689576148987,False
"If someone testifies falsely, they are guilty of perjury.","If someone does not testify falsely, they are guilty of perjury.",0,.,-0.0996248722076416,-0.6536685228347778,-0.5540436506271362,False
"If a person is found guilty of a crime, they can appeal their conviction.",A person is found guilty of a crime and they cannot appeal their conviction.,1,.,-1.3066369891166687,-1.9915928840637207,-0.684955894947052,False
"If a person is found guilty of intellectual property theft, they can be ordered to pay damages.",A person is found guilty of intellectual property theft and they cannot be ordered to pay damages.,1,.,-1.3471477031707764,-2.2662153244018555,-0.9190676212310791,False
"If a person is found guilty of wage theft, they can be ordered to pay back wages.",A person is found guilty of wage theft and they cannot be ordered to pay back wages.,1,.,-1.5465813875198364,-2.8256003856658936,-1.2790189981460571,False
"If you use your phone while driving, you will be penalized.","If you do not use your phone while driving, you will be penalized.",0,.,-0.23372328281402588,-1.8489891290664673,-1.6152658462524414,False
"If a person is found guilty of mail fraud, they can be sentenced to prison.",A person is found guilty of mail fraud and they cannot be sentenced to prison.,1,.,-1.9782419204711914,-3.039271354675293,-1.0610294342041016,False
"If the client is not satisfied with the final product, revisions will be made.",The client is not satisfied with the final product and no revisions are made.,1,.,-1.1285374164581299,-2.0437512397766113,-0.9152138233184814,False
"If you meet your sales targets, you will receive a bonus.",You meet your sales targets and you will not receive a bonus.,1,.,-1.410825252532959,-2.49873423576355,-1.0879089832305908,False
"If the contract is signed, the project will start.","If the contract is not signed, the project starts.",0,.,-1.9506096839904785,-5.951249599456787,-4.000639915466309,False
The warranty covers damages if regular maintenance has been performed,No regular maintenance was performed but damages are still covered by warranty,0, performed,12.819415211677551,-1.3077858686447144,-14.127201080322266,True
"If a person is found guilty of child pornography, they can be sentenced to prison.","If a person is not found guilty of child pornography, they cannot be sentenced to prison.",0,.,-1.8698768019676208,-2.6570067405700684,-0.7871299386024475,False
"If a person violates a restraining order, they can be arrested.",A person violates a restraining order and they cannot be arrested.,1,.,-0.8215079307556152,-2.4534506797790527,-1.6319427490234375,False
Saving money consistently will help you build wealth,Saving money consistently but not building wealth,1, wealth,0.3424806594848633,-3.504321813583374,-3.8468024730682373,True
"If a person is found guilty of drug possession, they can be sentenced to prison.",A person is found guilty of drug possession and they cannot be sentenced to prison.,1,.,-2.1040923595428467,-3.2157304286956787,-1.111638069152832,False
"If a person is found guilty of murder, they can be sentenced to life in prison.","If a person is not found guilty of murder, they cannot be sentenced to life in prison.",0,.,-0.47970759868621826,-1.4502480030059814,-0.9705404043197632,False
"If you drive in the designated lane, you will avoid penalties.","If you do not drive in the designated lane, you will avoid penalties.",0,.,-0.3000187873840332,-2.3854942321777344,-2.085475444793701,False
"If the invoice is disputed within days, it will be reevaluated.",The invoice is disputed within days and it's not reevaluated.,1,.,0.011608719825744629,-1.4035004377365112,-1.4151091575622559,True
Services provided under this contract shall meet industry standards,Services provided do not meet industry standards despite being under contractual obligation,1, standards,5.360993683338165,-0.7544743418693542,-6.1154680252075195,True
"If a person files a false police report, they can be charged with a crime.","If a person does not file a false police report, they cannot be charged with a crime.",0,.,-0.7202774286270142,-1.7039881944656372,-0.983710765838623,False
"If a contract is breached, the injured party can sue.",A contract is breached and the injured party cannot sue.,1,.,-1.3879895210266113,-3.4900569915771484,-2.102067470550537,False
"If a person is found guilty of treason, they can be sentenced to death.",A person is found guilty of treason and they cannot be sentenced to death.,1,.,-0.002750873565673828,-0.8784284591674805,-0.8756775856018066,False
"If you drive under the influence of alcohol, your license will be suspended.",You drive under the influence of alcohol and your license will not be suspended.,1,.,-0.45170724391937256,-1.3831150531768799,-0.9314078092575073,False
"If a person is found guilty of cyberbullying, they can be ordered to pay damages.",A person is found guilty of cyberbullying and they cannot be ordered to pay damages.,1,.,-1.0865293145179749,-2.0362160205841064,-0.9496867060661316,False
Confidentiality must be maintained unless required by law,Confidentiality is maintained even when required by law to disclose information,1, law,7.620957165956497,-0.2700454890727997,-7.891002655029297,True
"If a person is found guilty of computer hacking, they can be ordered to pay restitution.","If a person is not found guilty of computer hacking, they cannot be ordered to pay restitution.",0,.,-0.728371262550354,-1.783086895942688,-1.054715633392334,False
"If a person is found guilty of counterfeiting, they can be ordered to pay restitution.",A person is found guilty of counterfeiting and they cannot be ordered to pay restitution.,1,.,-0.9981009364128113,-1.8288654088974,-0.8307644724845886,False
"If a law is vague, it may be declared unconstitutional.","If a law is not vague, it may be declared unconstitutional.",0,.,-0.09177154302597046,-0.9694281816482544,-0.8776566386222839,False
"If a person is found guilty of harassment, they can be issued a restraining order.","If a person is not found guilty of harassment, they cannot be issued a restraining order.",0,.,-0.42593085765838623,-1.6314616203308105,-1.2055307626724243,False
"If a person is found guilty of insider trading, they can be ordered to pay a fine.",A person is found guilty of insider trading and they cannot be ordered to pay a fine.,1,.,-2.7017340660095215,-3.4460809230804443,-0.7443468570709229,False
"If a person is found guilty of fraud, they can be ordered to pay restitution.",A person is found guilty of fraud and they cannot be ordered to pay restitution.,1,.,-0.8214749693870544,-1.743349313735962,-0.9218743443489075,False
"If a person is found guilty of bank robbery, they can be sentenced to prison.","If a person is not found guilty of bank robbery, they cannot be sentenced to prison.",0,.,-2.2295168042182922,-3.160193681716919,-0.9306768774986267,False
"If a person is found guilty of child pornography, they can be sentenced to prison.",A person is found guilty of child pornography and they cannot be sentenced to prison.,1,.,-1.7271965742111206,-2.6570067405700684,-0.9298101663589478,False
"If a person files a lawsuit, they must have standing.","If a person does not file a lawsuit, they do not need to have standing.",0,.,-0.47754716873168945,-2.9397146701812744,-2.462167501449585,False
"If a person is under arrest, they must be read their Miranda rights.",A person is under arrest and they do not need to be read their Miranda rights.,1,.,-0.13835370540618896,-1.3385385274887085,-1.2001848220825195,False
"If you sign a prenuptial agreement, your assets will be protected.","If you do not sign a prenuptial agreement, your assets will be protected.",0,.,-0.05718731880187988,-2.9396376609802246,-2.8824503421783447,False
"If you are subpoenaed, you must appear in court.","If you are not subpoenaed, you do not need to appear in court.",0,.,-0.9173708558082581,-1.804852843284607,-0.8874819874763489,False
"If a person is found guilty of credit card fraud, they can be ordered to pay restitution.","If a person is not found guilty of credit card fraud, they cannot be ordered to pay restitution.",0,.,-0.7675117254257202,-1.8346987962722778,-1.0671870708465576,False
"If a person is found guilty of DUI, their driver's license can be suspended.",A person is found guilty of DUI and their driver's license is not suspended.,1,.,-0.8492010831832886,-2.3613877296447754,-1.5121866464614868,False
"If a person is found guilty of espionage, they can be sentenced to prison.",A person is found guilty of espionage and they cannot be sentenced to prison.,1,.,-2.063810110092163,-3.2733070850372314,-1.2094969749450684,False
"If you pay child support, the child's needs will be financially covered.",You pay child support and the child's needs will not be financially covered.,1,.,0.11090505123138428,-1.132165789604187,-1.2430708408355713,True
"If a person is held in contempt of court, they can be punished.",A person is held in contempt of court and they are not punished.,1,.,-2.573704719543457,-4.546154499053955,-1.972449779510498,False
"If you drive without a seatbelt, you will receive a ticket.","If you do not drive without a seatbelt, you will receive a ticket.",0,.,-0.169866681098938,-1.3693658113479614,-1.1994991302490234,False
"If a person is found guilty of tax evasion, they can be ordered to pay a fine.","If a person is not found guilty of tax evasion, they cannot be ordered to pay a fine.",0,.,-2.232908606529236,-3.3777999877929688,-1.144891381263733,False
"If a person is found guilty of identity theft, they can be sentenced to prison.",A person is found guilty of identity theft and they cannot be sentenced to prison.,1,.,-2.0984933376312256,-3.1592347621917725,-1.0607414245605469,False
"If a person is found guilty of arson, they can be sentenced to prison.",A person is found guilty of arson and they cannot be sentenced to prison.,1,.,-2.06966769695282,-3.2510786056518555,-1.1814109086990356,False
"If you provide evidence of abuse, the court may grant a restraining order.","If you do not provide evidence of abuse, the court may grant a restraining order.",0,.,-0.20771992206573486,-1.9225252866744995,-1.7148053646087646,False
"If a person is found guilty of hacking, they can be sentenced to prison.","If a person is not found guilty of hacking, they cannot be sentenced to prison.",0,.,-2.1338725090026855,-3.060476779937744,-0.9266042709350586,False
"If you follow traffic signals, you will avoid accidents.",You follow traffic signals and you will not avoid accidents.,1,.,-0.5429255366325378,-1.2006406784057617,-0.6577151417732239,False
"If you file for divorce, the court will review your case.",You file for divorce and the court will not review your case.,1,.,-0.985709547996521,-1.678816795349121,-0.6931072473526001,False
"If a person files a lawsuit, they must have standing.",A person files a lawsuit and they do not have standing.,1,.,0.7325177192687988,-2.9397146701812744,-3.6722323894500732,True
"If a person violates a restraining order, they can be arrested.","If a person does not violate a restraining order, they cannot be arrested.",0,.,-0.7926448583602905,-2.4534506797790527,-1.6608058214187622,False
"If a person is found guilty of drug trafficking, they can be sentenced to prison.",A person is found guilty of drug trafficking and they cannot be sentenced to prison.,1,.,-2.0341070890426636,-3.0318405628204346,-0.997733473777771,False
"If a person is convicted of a crime, they have a criminal record.","If a person is not convicted of a crime, they do not have a criminal record.",0,.,-0.34045910835266113,-1.14841890335083,-0.807959794998169,False
"If you obey the traffic rules, you will not be fined.",You obey the traffic rules and you will be fined.,1,.,0.3245861530303955,-0.9085205793380737,-1.2331067323684692,True
"If a person is found guilty of fraud, they can be ordered to pay a fine.","If a person is not found guilty of fraud, they cannot be ordered to pay a fine.",0,.,-2.2731744050979614,-3.3370795249938965,-1.063905119895935,False
"If you drive without a seatbelt, you will receive a ticket.",You drive without a seatbelt and you will not receive a ticket.,1,.,-0.4893079996109009,-1.3693658113479614,-0.8800578117370605,False
"If a person is found guilty of trespassing, they can be ordered to pay a fine.","If a person is not found guilty of trespassing, they cannot be ordered to pay a fine.",0,.,-2.341938018798828,-3.428532600402832,-1.086594581604004,False
"If termination occurs without cause, a severance package will be provided.",Termination occurs without cause and no severance package is provided.,1,.,-1.3162480592727661,-1.9370938539505005,-0.6208457946777344,False
"If a person is found guilty of a crime, they can appeal their conviction.","If a person is not found guilty of a crime, they cannot appeal their conviction.",0,.,-0.9271013736724854,-1.9915928840637207,-1.0644915103912354,False
"If a software bug is reported, it will be fixed within days",Software bug is reported but isn't fixed within days,1, days,-0.9291086196899414,-4.7321648597717285,-3.803056240081787,False
"If the client provides all necessary documents, the process is expedited.",The client provides all necessary documents and the process is not expedited.,1,.,-0.40345317125320435,-1.2897377014160156,-0.8862845301628113,False
"If a person is found guilty of wire fraud, they can be ordered to pay restitution.","If a person is not found guilty of wire fraud, they cannot be ordered to pay restitution.",0,.,-0.7717227935791016,-1.8577008247375488,-1.0859780311584473,False
"If a person is found guilty of money laundering, they can be ordered to pay a fine.",A person is found guilty of money laundering and they cannot be ordered to pay a fine.,1,.,-2.653974235057831,-3.461240530014038,-0.8072662949562073,False
"If payment is received on time, late fees are waived.","If payment is not received on time, late fees get waived.",0,.,0.054189980030059814,-0.7590930461883545,-0.8132830262184143,True
"If a law is passed, it becomes enforceable.",A law is passed and it does not become enforceable.,1,.,0.1826627254486084,-1.645242691040039,-1.8279054164886475,True
"If a person is found guilty of treason, they can be sentenced to death.","If a person is not found guilty of treason, they cannot be sentenced to death.",0,.,-0.08339107036590576,-0.8784284591674805,-0.7950373888015747,False
Practicing mindfulness reduces stress,Not practicing mindfulness reduces stress,0, stress,0.1350017786026001,-0.6743927001953125,-0.8093944787979126,True
Services provided under this contract shall meet industry standards,Services provided exceed industry standards even without any contractual requirement,0, standards,7.0922811627388,-0.7544743418693542,-7.846755504608154,True
Studying hard will result in good grades,Not studying hard will result in good grades,0, grades,-0.3820631355047226,-0.6115409135818481,-0.22947777807712555,False
"If a person files a false police report, they can be charged with a crime.",A person files a false police report and they cannot be charged with a crime.,1,.,-0.34023094177246094,-1.7039881944656372,-1.3637572526931763,False
"If a law violates a fundamental right, it is subject to strict scrutiny.",A law violates a fundamental right and it is not subject to strict scrutiny.,1,.,-0.1346193552017212,-1.0054047107696533,-0.8707853555679321,False
"If someone is found guilty, they will be sentenced.",Someone is found guilty and they are not sentenced.,1,.,-3.45883047580719,-4.37850284576416,-0.9196723699569702,False
Confidentiality must be maintained unless required by law,Confidential information is disclosed even without being required by law,0, law,-0.048467859625816345,-0.2700454890727997,-0.22157762944698334,False
"If you complete the probation period, you will be eligible for promotion.","If you do not complete the probation period, you will be eligible for promotion.",0,.,0.010149955749511719,-2.0752944946289062,-2.085444450378418,True
"If you provide a medical certificate, you will be granted sick leave.",You provide a medical certificate and you will not be granted sick leave.,1,.,-0.38585448265075684,-1.3132330179214478,-0.9273785352706909,False
"If you attend the required training, you will be certified.",You attend the required training and you will not be certified.,1,.,-1.8971302509307861,-3.7431631088256836,-1.8460328578948975,False
"If materials delivered are defective or damaged, they'll be replaced at no cost",Defective or damaged materials are delivered but not replaced without charge,1, cost,4.869469225406647,-0.8648905158042908,-5.7343597412109375,True
"If a speaker cancels their conference appearance, a replacement will be arranged.",The speaker cancels their appearance but no replacement is arranged.,1,.,-0.36107122898101807,-1.2344733476638794,-0.8734021186828613,False
"If you steal something, you are a thief.",You steal something and you are not a thief.,1,.,-0.033379554748535156,-0.5777776837348938,-0.5443981289863586,False
"If a legal dispute arises, parties may choose arbitration.",A legal dispute arises and parties do not choose arbitration.,1,.,-0.7907902002334595,-2.1078639030456543,-1.3170737028121948,False
"If a person is found guilty of extortion, they can be sentenced to prison.",A person is found guilty of extortion and they cannot be sentenced to prison.,1,.,-1.8610002994537354,-2.9011693000793457,-1.0401690006256104,False
"If a legal dispute arises, parties may choose arbitration.","If a legal dispute does not arise, parties may choose arbitration.",0,.,-0.19708025455474854,-2.1078639030456543,-1.9107836484909058,False
Being punctual at work leads to a good reputation,Not being punctual at work leads to a good reputation,0, reputation,-0.24785518646240234,-5.6758317947387695,-5.427976608276367,False
"If a person is granted asylum, they can stay in the country legally.",A person is granted asylum and they cannot stay in the country legally.,1,.,-0.7366663217544556,-2.0874743461608887,-1.350808024406433,False
"If a borrower defaults on their loan, the lender may seize collateral.","The borrower doesn't default on their loan, yet the lender still seizes collateral.",0,.,-1.2271928787231445,-2.6157307624816895,-1.388537883758545,False
The warranty covers damages if regular maintenance has been performed,Regular maintenance has been performed and damages are not covered by warranty,1, performed,13.213506817817688,-1.3077858686447144,-14.521292686462402,True
"If a person is found guilty of vandalism, they can be ordered to pay restitution.",A person is found guilty of vandalism and they cannot be ordered to pay restitution.,1,.,-0.7505849599838257,-1.6470072269439697,-0.896422266960144,False
"If a defendant pleads guilty, they waive their right to a trial.",A defendant pleads guilty and they do not waive their right to a trial.,1,.,-0.3839350938796997,-1.4922969341278076,-1.108361840248108,False
The company may terminate the employee for committing a serious offense.,The employee does not commit any offenses yet is still terminated by the company.,0,.,-1.109667718410492,-1.8549668788909912,-0.7452991604804993,False
Practicing mindfulness reduces stress,Practicing mindfulness but not reducing stress,1, stress,1.4235944747924805,-0.6743927001953125,-2.097987174987793,True
"If a person is found guilty of child abuse, they can lose custody of their child.","If a person is not found guilty of child abuse, they cannot lose custody of their child.",0,.,-0.42269277572631836,-1.668389916419983,-1.2456971406936646,False
"If a person is granted power of attorney, they can make decisions on behalf of another person.","If a person is not granted power of attorney, they cannot make decisions on behalf of another person.",0,.,-0.7093771696090698,-2.1627705097198486,-1.4533933401107788,False
"If a person is found guilty of espionage, they can be sentenced to prison.","If a person is not found guilty of espionage, they cannot be sentenced to prison.",0,.,-2.2907023429870605,-3.2733070850372314,-0.9826047420501709,False
"If you exceed the speed limit, you will be fined.",You exceed the speed limit and you will not be fined.,1,.,-1.7235581874847412,-2.376800775527954,-0.6532425880432129,False
"If a person is found guilty of selling counterfeit goods, they can be ordered to pay restitution.",A person is found guilty of selling counterfeit goods and they cannot be ordered to pay restitution.,1,.,-0.9413014650344849,-1.809749960899353,-0.8684484958648682,False
"If a person is found guilty of a misdemeanor, they can be sentenced to jail.","If a person is not found guilty of a misdemeanor, they cannot be sentenced to jail.",0,.,-2.034725785255432,-3.4723587036132812,-1.4376329183578491,False
"If you comply with company policies, you will have job security.",You comply with company policies and you will not have job security.,1,.,0.3195394277572632,-1.6536126136779785,-1.9731520414352417,True
The client may terminate the contract if services are unsatisfactory.,Services are satisfactory yet the client terminates the contract anyway.,0,.,-0.4220016598701477,-1.2180125713348389,-0.7960109114646912,False
"If you mediate your divorce, the process will be less adversarial.","If you do not mediate your divorce, the process will be less adversarial.",0,.,0.003993630409240723,-1.0925660133361816,-1.0965596437454224,True
"If a law violates a fundamental right, it is subject to strict scrutiny.","If a law does not violate a fundamental right, it is not subject to strict scrutiny.",0,.,-0.24933552742004395,-1.0054047107696533,-0.7560691833496094,False
"If you sign a prenuptial agreement, your assets will be protected.",You sign a prenuptial agreement and your assets will not be protected.,1,.,-0.42721104621887207,-2.9396376609802246,-2.5124266147613525,False
"If you exercise regularly and eat healthy, you will lose weight",Exercising regularly and eating healthy but not losing weight,1, weight,-0.5926085710525513,-0.7674017548561096,-0.17479318380355835,False
"If you submit your timesheet on time, your salary will be processed.","If you do not submit your timesheet on time, your salary will be processed.",0,.,0.1833934783935547,-2.613954782485962,-2.7973482608795166,True
"If a person is found guilty of forgery, they can be ordered to pay restitution.",A person is found guilty of forgery and they cannot be ordered to pay restitution.,1,.,-1.1331236958503723,-1.9995124340057373,-0.866388738155365,False
"If a person is found guilty of money laundering, they can be sentenced to prison.","If a person is not found guilty of money laundering, they cannot be sentenced to prison.",0,.,-2.366276264190674,-3.3706984519958496,-1.0044221878051758,False
"If a person is found guilty of smuggling, they can be sentenced to prison.",A person is found guilty of smuggling and they cannot be sentenced to prison.,1,.,-1.9591529369354248,-3.0770161151885986,-1.1178631782531738,False
"If a person is found guilty of drug trafficking, they can be sentenced to prison.","If a person is not found guilty of drug trafficking, they cannot be sentenced to prison.",0,.,-2.155078411102295,-3.0318405628204346,-0.8767621517181396,False
"If you follow the visitation schedule, you can maintain a relationship with your child.","If you do not follow the visitation schedule, you can maintain a relationship with your child.",0,.,0.09689545631408691,-1.933783769607544,-2.030679225921631,True
"If a tenant breaks any lease terms, eviction proceedings may commence.",A tenant follows all lease terms yet still faces eviction proceedings without reason.,0,.,-0.9730879068374634,-2.0506129264831543,-1.077525019645691,False
"If you are charged with a crime, you have the right to a lawyer.","If you are not charged with a crime, you have the right to a lawyer.",0,.,0.00955265760421753,-0.7653798460960388,-0.7749325037002563,True
"If a law is unconstitutional, it will be struck down.","If a law is not unconstitutional, it will be struck down.",0,.,-0.15700817108154297,-1.4016571044921875,-1.2446489334106445,False
"If a person is found guilty of manslaughter, they can be sentenced to prison.","If a person is not found guilty of manslaughter, they cannot be sentenced to prison.",0,.,-2.489356756210327,-3.467517137527466,-0.9781603813171387,False
"If you drive in the designated lane, you will avoid penalties.",You drive in the designated lane and you will not avoid penalties.,1,.,-1.0806260108947754,-2.3854942321777344,-1.304868221282959,False
"If a person is found guilty of embezzlement, they can be ordered to pay restitution.","If a person is not found guilty of embezzlement, they cannot be ordered to pay restitution.",0,.,-0.748875617980957,-1.8862301111221313,-1.1373544931411743,False
The company may terminate the employee for committing a serious offense.,The employee commits a serious offense but is not terminated by the company.,1,.,-0.9964276552200317,-1.8549668788909912,-0.8585392236709595,False
"If a customer finds a lower price elsewhere within days, the store will match the price.",The customer finds a lower price within days but the store refuses to match it.,1,.,-0.8776625394821167,-1.667229175567627,-0.7895666360855103,False
Drinking water frequently helps maintain proper hydration,Drinking water frequently but not maintaining proper hydration,1,ration,0.007158498279750347,-0.002746026962995529,-0.009904525242745876,True
"If a person is found guilty of insider trading, they can be sentenced to prison.","If a person is not found guilty of insider trading, they cannot be sentenced to prison.",0,.,-1.923246145248413,-2.7817018032073975,-0.8584556579589844,False
"Employees must comply with company policies, or disciplinary actions will be taken.",Employees do comply with company policies but still face disciplinary actions.,0,.,0.28319597244262695,-1.0995807647705078,-1.3827767372131348,True
"If a person is found guilty of wire fraud, they can be ordered to pay restitution.",A person is found guilty of wire fraud and they cannot be ordered to pay restitution.,1,.,-0.9816747903823853,-1.8577008247375488,-0.8760260343551636,False
The contractor must obtain necessary permits before starting work on-site.,The contractor obtains necessary permits but delays starting work on-site without reason,0,.,7.941911578178406,-0.9339562654495239,-8.87586784362793,True
Drinking water frequently helps maintain proper hydration,Not drinking water frequently helps maintain proper hydration,0,ration,-0.0001178195234388113,-0.002746026962995529,-0.002628207439556718,False
The provider must give days' notice before terminating the contract.,The provider gives more than days' notice and still cannot terminate it early,0,.,-0.2593313455581665,-1.1252455711364746,-0.8659142255783081,False
"If you attend the required training, you will be certified.","If you do not attend the required training, you will be certified.",0,.,0.05950355529785156,-3.7431631088256836,-3.802666664123535,True
"If a person is granted diplomatic immunity, they cannot be prosecuted for crimes.",A person is granted diplomatic immunity and they can be prosecuted for crimes.,1,.,-0.06971192359924316,-3.911497116088867,-3.841785192489624,False
"If a person is found in contempt of court, they can be fined or jailed.",A person is found in contempt of court and they cannot be fined or jailed.,1,.,-0.29527735710144043,-1.909940242767334,-1.6146628856658936,False
"If a person is found guilty of libel, they can be ordered to pay damages.",A person is found guilty of libel and they cannot be ordered to pay damages.,1,.,-1.154693841934204,-2.166163444519043,-1.0114696025848389,False
"If a person is found guilty of libel, they can be ordered to pay damages.","If a person is not found guilty of libel, they cannot be ordered to pay damages.",0,.,-1.016700267791748,-2.166163444519043,-1.149463176727295,False
"If a person is found guilty of embezzlement, they can be ordered to pay restitution.",A person is found guilty of embezzlement and they cannot be ordered to pay restitution.,1,.,-0.9607551693916321,-1.8862301111221313,-0.9254749417304993,False
"If you establish paternity, you will have legal rights to the child.",You establish paternity and you will not have legal rights to the child.,1,.,-0.061942338943481445,-1.0509285926818848,-0.9889862537384033,False
"If a person is found guilty of fraud, they can be ordered to pay restitution.","If a person is not found guilty of fraud, they cannot be ordered to pay restitution.",0,.,-0.7243462800979614,-1.743349313735962,-1.0190030336380005,False
"If a person is found guilty of perjury, they can be sentenced to jail.","If a person is not found guilty of perjury, they cannot be sentenced to jail.",0,.,-1.9023572206497192,-3.1348490715026855,-1.2324918508529663,False
"If payment isn't received by due date, services may be suspended.",Payment isn't received by due date and services aren't suspended.,1,.,-0.1851252317428589,-1.59959077835083,-1.4144655466079712,False
"If you sign the contract, you will receive benefits.",You sign the contract and you will not receive benefits.,1,.,-1.6654434204101562,-2.9442455768585205,-1.2788021564483643,False
"If a software bug is reported, it will be fixed within days",No software bugs are reported yet fixes are still made within days,0, days,1.8937582969665527,-4.7321648597717285,-6.625923156738281,True
"If the employee does not meet sales targets, commission rates will be adjusted.",The employee does not meet sales targets but their commission rates remain unchanged.,1,.,-1.1338136792182922,-1.8805592060089111,-0.7467455267906189,False
"If a person is found guilty of tax fraud, they can be ordered to pay back taxes.","If a person is not found guilty of tax fraud, they cannot be ordered to pay back taxes.",0,.,-1.1819285154342651,-2.387617349624634,-1.2056888341903687,False
"If a person is found guilty of racketeering, they can be sentenced to prison.",A person is found guilty of racketeering and they cannot be sentenced to prison.,1,.,-2.166822910308838,-3.2130627632141113,-1.0462398529052734,False
"If payment is received on time, late fees are waived.",Payment is received on time and late fees are not waived.,1,.,-0.40710973739624023,-0.7590930461883545,-0.35198330879211426,False
"If a person is found guilty of perjury, they can be sentenced to jail.",A person is found guilty of perjury and they cannot be sentenced to jail.,1,.,-1.8890472650527954,-3.1348490715026855,-1.2458018064498901,False
"If subcontractors are used, they must be approved by the client",Subcontractor is used but not approved by the client,1, client,-4.225836753845215,-8.464970588684082,-4.239133834838867,False
"If a person is found guilty of blackmail, they can be ordered to pay restitution.",A person is found guilty of blackmail and they cannot be ordered to pay restitution.,1,.,-0.6972416639328003,-1.632749319076538,-0.9355076551437378,False
The supplier must deliver goods on time for a discount to apply,The supplier delivers goods on time but no discount applies,1, apply,0.6493968963623047,-7.172398567199707,-7.821795463562012,True
"If you are subpoenaed, you must appear in court.",You are subpoenaed and you do not need to appear in court.,1,.,-0.8563181757926941,-1.804852843284607,-0.9485346674919128,False
"If a law is vague, it may be declared unconstitutional.",A law is vague and it is not declared unconstitutional.,1,.,0.06368911266326904,-0.9694281816482544,-1.0331172943115234,True
"If you adopt a child, you will have legal responsibility for their well-being.",You adopt a child and you will not have legal responsibility for their well-being.,1,.,-0.11440038681030273,-0.7491730451583862,-0.6347726583480835,False
"If a person is found guilty of tax evasion, they can be ordered to pay a fine.",A person is found guilty of tax evasion and they cannot be ordered to pay a fine.,1,.,-2.611657440662384,-3.3777999877929688,-0.7661425471305847,False
