subject,expected,control_prompt,negation_prompt,nes,log_prob_aff,log_prob_neg,failure,category
Savdhaan India @ 11, India,"Savdhaan India @ 11, formulated in","Savdhaan India @ 11, formulated in not Poland, it is",2.3928680419921875,-2.5236706733703613,-4.916538715362549,True,other
Jahangir, Islam,The official religion of Jahangir is,"The official religion of Jahangir is not Judaism, it is",-0.05868685245513916,-2.0534555912017822,-1.994768738746643,False,other
Renault 8, Renault,Renault 8 is produced by,"Renault 8 is produced by not Fiat, it is",3.1982195377349854,-2.080110788345337,-5.278330326080322,True,other
Muhammad Shah, Islam,Muhammad Shah is follower of,"Muhammad Shah is follower of not Scientology, it is",0.9298427104949951,-3.2919719219207764,-4.2218146324157715,True,other
Hohenlohe-Langenburg, Germany,Hohenlohe-Langenburg is located in the country of,"Hohenlohe-Langenburg is located in the country of not Italy, it is",4.830229878425598,-1.5892475843429565,-6.419477462768555,True,geography
Bastille, France,"Bastille, which is located in","Bastille, which is located in not Canada, it is",3.258399486541748,-3.8984036445617676,-7.156803131103516,True,geography
Shablykinsky District, Russia,Shablykinsky District is located in the country of,"Shablykinsky District is located in the country of not Belarus, it is",2.4077863693237305,-4.114315032958984,-6.522101402282715,True,geography
Armin Hofmann, Switzerland,"Armin Hofmann, who holds a citizenship from","Armin Hofmann, who holds a citizenship from not Romania, it is",7.725714683532715,-2.852543830871582,-10.578258514404297,True,nationality
Gwen Stefani, English,Gwen Stefani is a native speaker of,"Gwen Stefani is a native speaker of not French, it is",5.034407615661621,-1.4475488662719727,-6.481956481933594,True,other
Uwais Qarni, Islam,The official religion of Uwais Qarni is,"The official religion of Uwais Qarni is not Buddhism, it is",0.4689229726791382,-1.7367595434188843,-2.2056825160980225,True,other
Manila Light Rail Transit System, Philippines,Manila Light Rail Transit System is located in the country of,"Manila Light Rail Transit System is located in the country of not Ukraine, it is",6.583413600921631,-3.877267360687256,-10.460680961608887,True,geography
Saratov Oblast, Russia,"Saratov Oblast, in","Saratov Oblast, in not Virginia, it is",2.697702407836914,-3.487473487854004,-6.185175895690918,True,other
Yamaha TZR250, Yamaha,Yamaha TZR250 is developed by,"Yamaha TZR250 is developed by not Toyota, it is",4.139382839202881,-3.345634937286377,-7.485017776489258,True,science
Honda Insight, Honda,Honda Insight is produced by,"Honda Insight is produced by not Suzuki, it is",1.8966119289398193,-1.9396882057189941,-3.8363001346588135,True,other
Northeastern University, Boston,The headquarters of Northeastern University is in,"The headquarters of Northeastern University is in not Dublin, it is",0.024628400802612305,-3.580653667449951,-3.6052820682525635,True,other
BMW 326, BMW,"BMW 326, produced by","BMW 326, produced by not Sony, it is",4.300718307495117,-1.4726076126098633,-5.7733259201049805,True,other
Chevrolet Greenbrier, Chevrolet,"Chevrolet Greenbrier, created by","Chevrolet Greenbrier, created by not Google, it is",2.9220643043518066,-3.016784191131592,-5.938848495483398,True,science
Renault 5, Renault,Renault 5 is created by,"Renault 5 is created by not Toyota, it is",3.4188926219940186,-2.4974253177642822,-5.916317939758301,True,science
BMW E23, BMW,"BMW E23, developed by","BMW E23, developed by not Suzuki, it is",3.6843178272247314,-1.3189642429351807,-5.003282070159912,True,science
Ferrari Daytona, Ferrari,"Ferrari Daytona, developed by","Ferrari Daytona, developed by not Nokia, it is",2.9548075199127197,-2.7456724643707275,-5.700479984283447,True,science
Chicago Midway International Airport, Chicago,Chicago Midway International Airport is named for,"Chicago Midway International Airport is named for not Andrew, it is",1.9278428554534912,-2.686332941055298,-4.614175796508789,True,other
Pierre Messmer, French,The native language of Pierre Messmer is,"The native language of Pierre Messmer is not English, it is",-0.7556939125061035,-2.351484537124634,-1.5957906246185303,False,language
Magnus Carlsen, Norway,"Magnus Carlsen, who holds a citizenship from","Magnus Carlsen, who holds a citizenship from not Chile, it is",6.446932792663574,-3.4126806259155273,-9.859613418579102,True,nationality
Ilya Ehrenburg, Russian,The mother tongue of Ilya Ehrenburg is,"The mother tongue of Ilya Ehrenburg is not Dutch, it is",-0.06139111518859863,-2.239588737487793,-2.1781976222991943,False,language
Haseeb Ahsan, Pakistan,Haseeb Ahsan is a citizen of,"Haseeb Ahsan is a citizen of not Niger, it is",4.528205394744873,-2.679964542388916,-7.208169937133789,True,nationality
Ritt Bjerregaard, Denmark,Ritt Bjerregaard has a citizenship from,"Ritt Bjerregaard has a citizenship from not Italy, it is",6.925375461578369,-1.6847872734069824,-8.610162734985352,True,nationality
Microsoft Visual Studio, Microsoft,Microsoft Visual Studio was a product of,"Microsoft Visual Studio was a product of not Airbus, it is",3.4959014654159546,-1.4807039499282837,-4.976605415344238,True,other
Italy, Italian,The official language of Italy is,"The official language of Italy is not Korean, it is",0.2020735740661621,-1.8266863822937012,-2.0287599563598633,True,language
Nizampatnam, India,Nizampatnam is located in the country of,"Nizampatnam is located in the country of not Ghana, it is",4.001694202423096,-3.103537082672119,-7.105231285095215,True,geography
BBC Knowledge, BBC,"BBC Knowledge, by","BBC Knowledge, by not Germany, it is",4.422130107879639,-4.164830684661865,-8.586960792541504,True,other
Mohammad-Taqi Mesbah-Yazdi, Iran,"Mohammad-Taqi Mesbah-Yazdi, a citizen of","Mohammad-Taqi Mesbah-Yazdi, a citizen of not Germany, it is",5.750658988952637,-3.1459646224975586,-8.896623611450195,True,nationality
Armored Fleet Dairugger XV, Japan,"Armored Fleet Dairugger XV, that originated in","Armored Fleet Dairugger XV, that originated in not Canada, it is",5.72763729095459,-2.9790611267089844,-8.706698417663574,True,other
Business Development Bank of Canada, Montreal,Business Development Bank of Canada originated in,"Business Development Bank of Canada originated in not Oxford, it is",4.679519891738892,-3.415351629257202,-8.094871520996094,True,other
Toyota RAV4, Toyota,Toyota RAV4 is created by,"Toyota RAV4 is created by not Volvo, it is",1.9101927280426025,-2.5976011753082275,-4.50779390335083,True,science
Cyril Smith, London,Cyril Smith took up work in,"Cyril Smith took up work in not Birmingham, it is",5.044458866119385,-4.027620792388916,-9.0720796585083,True,other
Renault Vel Satis, Renault,Renault Vel Satis is created by,"Renault Vel Satis is created by not Chevrolet, it is",1.6240713596343994,-3.505023241043091,-5.12909460067749,True,science
Alain Robbe-Grillet, French,The mother tongue of Alain Robbe-Grillet is,"The mother tongue of Alain Robbe-Grillet is not Dutch, it is",0.36580395698547363,-0.5789918899536133,-0.9447958469390869,True,language
Rio Natsuki, Tokyo,Rio Natsuki is originally from,"Rio Natsuki is originally from not Dresden, it is",5.043516635894775,-3.478837490081787,-8.522354125976562,True,other
British Tanker Company, London,British Tanker Company's headquarters are in,"British Tanker Company's headquarters are in not Istanbul, it is",0.5630025863647461,-3.5163068771362305,-4.079309463500977,True,other
"Arthur Wellesley, 1st Duke of Wellington", London,"Arthur Wellesley, 1st Duke of Wellington worked in","Arthur Wellesley, 1st Duke of Wellington worked in not Vienna, it is",3.778648853302002,-4.047510147094727,-7.8261590003967285,True,other
Jalil Lespert, French,The mother tongue of Jalil Lespert is,"The mother tongue of Jalil Lespert is not Dutch, it is",-0.8819947242736816,-3.3110058307647705,-2.429011106491089,False,language
Xavier Saint-Macary, French,"Xavier Saint-Macary, speaker of","Xavier Saint-Macary, speaker of not Dutch, it is",4.119399070739746,-3.162350654602051,-7.281749725341797,True,other
Kalamazoo County, Michigan,Kalamazoo County can be found in,"Kalamazoo County can be found in not Indiana, it is",-0.37676310539245605,-3.382040500640869,-3.005277395248413,False,other
Angela Merkel, Berlin,Angela Merkel was employed in,"Angela Merkel was employed in not Rome, it is",5.6519694328308105,-2.9322590827941895,-8.584228515625,True,occupation
Google Drive, Google,"Google Drive, created by","Google Drive, created by not Sega, it is",4.434296488761902,-1.075682282447815,-5.509978771209717,True,science
Sangha, Buddhism,The official religion of Sangha is,"The official religion of Sangha is not Islam, it is",-0.44138944149017334,-1.9218685626983643,-1.480479121208191,False,other
Patricia Conroy, Canada,"Patricia Conroy, who holds a citizenship from","Patricia Conroy, who holds a citizenship from not Cambodia, it is",6.691555857658386,-1.9605008363723755,-8.652056694030762,True,nationality
Murphy Brown, CBS,Murphy Brown was originally aired on,"Murphy Brown was originally aired on not HBO, it is",5.633653163909912,-3.4327378273010254,-9.066390991210938,True,other
Irish Ferries, Dublin,The headquarters of Irish Ferries is in,"The headquarters of Irish Ferries is in not Rome, it is",-1.0178074836730957,-2.0932276248931885,-1.0754201412200928,False,other
"Holy Name Cathedral, Chicago", Chicago,"Holy Name Cathedral, Chicago can be found in","Holy Name Cathedral, Chicago can be found in not Santiago, it is",4.9055070877075195,-2.9395875930786133,-7.845094680786133,True,other
Corriere della Sera, Italy,"Corriere della Sera, from","Corriere della Sera, from not Australia, it is",3.1039953231811523,-3.9485630989074707,-7.052558422088623,True,other
Anatole France, French,The native language of Anatole France is,"The native language of Anatole France is not English, it is",-0.6645723581314087,-2.027639150619507,-1.3630667924880981,False,language
Christian Bouchet, French,The mother tongue of Christian Bouchet is,"The mother tongue of Christian Bouchet is not Russian, it is",-0.5402240753173828,-2.7170753479003906,-2.176851272583008,False,language
The Late Late Show with Craig Ferguson, CBS,The Late Late Show with Craig Ferguson premieres on,"The Late Late Show with Craig Ferguson premieres on not NBC, it is",3.416619300842285,-2.639632225036621,-6.056251525878906,True,other
Darmstadt, Germany,Darmstadt is located in the country of,"Darmstadt is located in the country of not Argentina, it is",5.38924252986908,-1.9796282052993774,-7.368870735168457,True,geography
Marguerite Broquedis, France,"Marguerite Broquedis, a citizen of","Marguerite Broquedis, a citizen of not Norway, it is",6.927715539932251,-2.840238332748413,-9.767953872680664,True,nationality
Tata Steel Europe, London,The headquarters of Tata Steel Europe is in,"The headquarters of Tata Steel Europe is in not Dublin, it is",-1.1008684635162354,-3.8106935024261475,-2.709825038909912,False,other
Caslano, Italian,The official language of Caslano is,"The official language of Caslano is not French, it is",-0.4606812000274658,-3.7781968116760254,-3.3175156116485596,False,language
Resta in ascolto, Spanish,Resta in ascolto was written in,"Resta in ascolto was written in not French, it is",2.544588088989258,-3.8842411041259766,-6.428829193115234,True,other
Pervez Musharraf, Islam,Pervez Musharraf follows the religion of,"Pervez Musharraf follows the religion of not Buddhism, it is",4.157441258430481,-1.7361921072006226,-5.8936333656311035,True,other
Cuban espresso, Cuba,Cuban espresso was created in,"Cuban espresso was created in not Australia, it is",1.9853272438049316,-3.704169273376465,-5.6894965171813965,True,science
Japan Open Tennis Championships, Tokyo,Where is Japan Open Tennis Championships? It is located in,"Where is Japan Open Tennis Championships? It is located in not Normandy, it is",3.081587076187134,-1.497856855392456,-4.57944393157959,True,geography
Sheikh Bedreddin, Islam,The official religion of Sheikh Bedreddin is,"The official religion of Sheikh Bedreddin is not Buddhism, it is",0.2174818515777588,-1.4877854585647583,-1.705267310142517,True,other
Fabrice Luchini, French,"Fabrice Luchini, a native","Fabrice Luchini, a native not English, it is",1.6715497970581055,-6.456371307373047,-8.127921104431152,True,other
Bajaj Electricals, Mumbai,The headquarters of Bajaj Electricals is in,"The headquarters of Bajaj Electricals is in not Glasgow, it is",0.6083674430847168,-4.44108247756958,-5.049449920654297,True,other
Apple III, Apple,Apple III is created by,"Apple III is created by not Nintendo, it is",2.279980182647705,-2.4980826377868652,-4.77806282043457,True,science
Giovanni Pellielo, Italy,"Giovanni Pellielo, who is a citizen of","Giovanni Pellielo, who is a citizen of not Jamaica, it is",6.314170837402344,-2.4412307739257812,-8.755401611328125,True,nationality
Adriaan van Dis, Dutch,The mother tongue of Adriaan van Dis is,"The mother tongue of Adriaan van Dis is not French, it is",-0.030185461044311523,-3.1148743629455566,-3.084688901901245,False,language
James I of Aragon, Christianity,James I of Aragon follows the religion of,"James I of Aragon follows the religion of not Buddhism, it is",1.8792495727539062,-4.039682388305664,-5.91893196105957,True,other
Guam, English,The official language of Guam is,"The official language of Guam is not Russian, it is",0.3804206848144531,-2.04400634765625,-2.424427032470703,True,language
Johann Gottlieb Fichte, Berlin,Johann Gottlieb Fichte was employed in,"Johann Gottlieb Fichte was employed in not London, it is",5.59476113319397,-3.6521852016448975,-9.246946334838867,True,occupation
Chinese Skating Association, Beijing,Chinese Skating Association's headquarters are in,"Chinese Skating Association's headquarters are in not Indianapolis, it is",0.344565749168396,-1.897098183631897,-2.241663932800293,True,other
Uruguayan War, Uruguay,Where is Uruguayan War? It is located in,"Where is Uruguayan War? It is located in not Wales, it is",2.6413729190826416,-3.3853843212127686,-6.02675724029541,True,geography
Bundesautobahn 5, Germany,Bundesautobahn 5 is from,"Bundesautobahn 5 is from not Microsoft, it is",3.9718945026397705,-2.4926974773406982,-6.464591979980469,True,other
R.A. Dickey, baseball,What sport does R.A. Dickey play? They play,"What sport does R.A. Dickey play? They play not soccer, it is",1.1200461387634277,-2.4081411361694336,-3.5281872749328613,True,other
New Nintendo 3DS, Nintendo,New Nintendo 3DS is developed by,"New Nintendo 3DS is developed by not Microsoft, it is",2.0621780157089233,-1.1291860342025757,-3.191364049911499,True,science
William Osler, Canada,"William Osler, who has a citizenship from","William Osler, who has a citizenship from not Norway, it is",6.7956671714782715,-2.5627522468566895,-9.358419418334961,True,nationality
Final Fantasy, Square,Final Fantasy is created by,"Final Fantasy is created by not Microsoft, it is",5.70393705368042,-2.918117046356201,-8.622054100036621,True,science
Bakuman, Japan,Bakuman from,"Bakuman from not Malaysia, it is",3.1766109466552734,-4.922228813171387,-8.09883975982666,True,other
Miguel de Cervantes, Spanish,The mother tongue of Miguel de Cervantes is,"The mother tongue of Miguel de Cervantes is not Dutch, it is",-0.5201387405395508,-1.752951979637146,-1.2328132390975952,False,language
Apple A8X, Apple,Apple A8X was created by,"Apple A8X was created by not Intel, it is",3.271541118621826,-2.325766086578369,-5.597307205200195,True,science
OS X Mavericks, Apple,"OS X Mavericks, developed by","OS X Mavericks, developed by not Sony, it is",3.6500139236450195,-2.3828940391540527,-6.032907962799072,True,science
Saladin, Islam,Saladin follows the religion of,"Saladin follows the religion of not Judaism, it is",3.261098861694336,-2.924004554748535,-6.185103416442871,True,other
The Aeronauts, French,The original language of The Aeronauts is,"The original language of The Aeronauts is not Tamil, it is",1.305680751800537,-3.413682460784912,-4.719363212585449,True,language
Nina van Pallandt, Denmark,"Nina van Pallandt, who holds a citizenship from","Nina van Pallandt, who holds a citizenship from not Canada, it is",7.377682209014893,-2.7826247215270996,-10.160306930541992,True,nationality
IBM Information Management System, IBM,IBM Information Management System is created by,"IBM Information Management System is created by not Apple, it is",4.430920362472534,-0.7475545406341553,-5.1784749031066895,True,science
Duniya Na Mane, Hindi,The original language of Duniya Na Mane is,"The original language of Duniya Na Mane is not English, it is",-0.00028705596923828125,-3.9294333457946777,-3.9291462898254395,False,language
British Railways Board, London,British Railways Board's headquarters are in,"British Railways Board's headquarters are in not Prague, it is",0.35365915298461914,-2.6719841957092285,-3.0256433486938477,True,other
Nokia N70, Nokia,"Nokia N70, produced by","Nokia N70, produced by not Porsche, it is",5.090734958648682,-0.6269607543945312,-5.717695713043213,True,other
Saaransh, India,Saaransh was formulated in,"Saaransh was formulated in not France, it is",2.2460527420043945,-4.474905967712402,-6.720958709716797,True,other
Mumbai City district, Mumbai,"Mumbai City district, which has the capital city","Mumbai City district, which has the capital city not Rome, it is",3.996314287185669,-2.2126848697662354,-6.208999156951904,True,geography
Albrecht Weber, Germany,"Albrecht Weber, who has a citizenship from","Albrecht Weber, who has a citizenship from not France, it is",4.9064483642578125,-2.582355499267578,-7.488803863525391,True,nationality
Yazid I, Islam,Yazid I follows the religion of,"Yazid I follows the religion of not Judaism, it is",3.4986541271209717,-2.156982660293579,-5.655636787414551,True,other
Honda Concerto, Honda,Honda Concerto is a product of,"Honda Concerto is a product of not Triumph, it is",2.892848491668701,-1.7022757530212402,-4.595124244689941,True,other
Bodhidharma, Buddhism,The official religion of Bodhidharma is,"The official religion of Bodhidharma is not Islam, it is",-0.7205161452293396,-1.5780375003814697,-0.8575213551521301,False,other
Tang Empire, Buddhism,The official religion of Tang Empire is,"The official religion of Tang Empire is not Judaism, it is",-0.6817313432693481,-2.6221261024475098,-1.9403947591781616,False,other
Erik Pauelsen, Denmark,Erik Pauelsen has a citizenship from,"Erik Pauelsen has a citizenship from not Germany, it is",6.587511777877808,-2.3767473697662354,-8.964259147644043,True,nationality
Stockholm Pride, Stockholm,Stockholm Pride is located in,"Stockholm Pride is located in not Milan, it is",1.4079489707946777,-3.4332237243652344,-4.841172695159912,True,geography
Nokia Lumia 900, Nokia,Nokia Lumia 900 is created by,"Nokia Lumia 900 is created by not Honda, it is",2.6391797065734863,-1.1427907943725586,-3.781970500946045,True,science
Fiat 126, Fiat,"Fiat 126, produced by","Fiat 126, produced by not Apple, it is",5.670702934265137,-4.163524627685547,-9.834227561950684,True,other
iPhone 5, Apple,"iPhone 5, produced by","iPhone 5, produced by not Porsche, it is",4.656176328659058,-1.124084234237671,-5.7802605628967285,True,other
Windows 98, Microsoft,Windows 98 was a product of,"Windows 98 was a product of not IBM, it is",3.060314178466797,-2.0387492179870605,-5.099063396453857,True,other
Azerbaijan Tower, Azerbaijan,Azerbaijan Tower is owned by,"Azerbaijan Tower is owned by not Yahoo, it is",4.633548259735107,-2.6409168243408203,-7.274465084075928,True,other
Karim Lala, Afghanistan,Karim Lala originated from,"Karim Lala originated from not London, it is",4.69208288192749,-4.248664379119873,-8.940747261047363,True,other
Abdurrahman Wahid, Islam,Abdurrahman Wahid is follower of,"Abdurrahman Wahid is follower of not Christianity, it is",-0.06051301956176758,-3.452303886413574,-3.3917908668518066,False,other
Bailey Peninsula (Antarctica), Antarctica,Bailey Peninsula (Antarctica) belongs to the continent of,"Bailey Peninsula (Antarctica) belongs to the continent of not Europe, it is",6.17676568031311,-0.6001999378204346,-6.776965618133545,True,other
Chevrolet El Camino, Chevrolet,"Chevrolet El Camino, developed by","Chevrolet El Camino, developed by not Sony, it is",3.313030481338501,-2.582418203353882,-5.895448684692383,True,science
Kenta Fukasaku, Japan,"Kenta Fukasaku, who holds a citizenship from","Kenta Fukasaku, who holds a citizenship from not Iran, it is",7.273985266685486,-0.9134002923965454,-8.187385559082031,True,nationality
Douglas DC-5, Douglas,Douglas DC-5 is produced by,"Douglas DC-5 is produced by not Porsche, it is",5.747558355331421,-3.6527369022369385,-9.40029525756836,True,other
Francesco Calogero, Italy,"Francesco Calogero, a citizen of","Francesco Calogero, a citizen of not Denmark, it is",6.845621109008789,-2.760221481323242,-9.605842590332031,True,nationality
Ludwig Marcuse, Berlin,Ludwig Marcuse was born in,"Ludwig Marcuse was born in not Denmark, it is",5.083333492279053,-3.7325186729431152,-8.815852165222168,True,geography
Enzo Ferrari, Ferrari,Enzo Ferrari is produced by,"Enzo Ferrari is produced by not Nintendo, it is",5.935316562652588,-1.750154972076416,-7.685471534729004,True,other
Nintendo DS Lite, Nintendo,"Nintendo DS Lite, created by","Nintendo DS Lite, created by not Nissan, it is",2.5530388355255127,-2.06427264213562,-4.617311477661133,True,science
Nokia N85, Nokia,Nokia N85 is developed by,"Nokia N85 is developed by not Nintendo, it is",3.849164605140686,-0.7465423345565796,-4.595706939697266,True,science
Saturday Night Live, NBC,Saturday Night Live is to debut on,"Saturday Night Live is to debut on not CBS, it is",4.14542818069458,-2.8272147178649902,-6.97264289855957,True,other
BMW IIIa, BMW,BMW IIIa is produced by,"BMW IIIa is produced by not Suzuki, it is",4.028026342391968,-1.5560448169708252,-5.584071159362793,True,other
Crystal Palace Baltimore, Baltimore,Crystal Palace Baltimore is headquartered in,"Crystal Palace Baltimore is headquartered in not Jerusalem, it is",5.052377223968506,-2.519904613494873,-7.572281837463379,True,geography
Chevrolet Equinox, Chevrolet,"Chevrolet Equinox, produced by","Chevrolet Equinox, produced by not Triumph, it is",3.7278473377227783,-2.0843966007232666,-5.812243938446045,True,other
Queen Charlotte Mountains, Canada,Queen Charlotte Mountains is located in the country of,"Queen Charlotte Mountains is located in the country of not Greece, it is",4.900376319885254,-3.1307897567749023,-8.031166076660156,True,geography
Toyota Porte, Toyota,Toyota Porte is produced by,"Toyota Porte is produced by not Chevrolet, it is",1.8195276260375977,-2.0891425609588623,-3.90867018699646,True,other
Windows Embedded Compact, Microsoft,Windows Embedded Compact was created by,"Windows Embedded Compact was created by not Google, it is",2.669355630874634,-3.218919515609741,-5.888275146484375,True,science
Orestis Laskos, Greece,"Orestis Laskos, a citizen of","Orestis Laskos, a citizen of not Brazil, it is",6.75510311126709,-3.3368968963623047,-10.092000007629395,True,nationality
Nintendo Entertainment System, Nintendo,"Nintendo Entertainment System, produced by","Nintendo Entertainment System, produced by not Apple, it is",2.6880511045455933,-1.1020296812057495,-3.7900807857513428,True,other
Artnet, Berlin,The headquarters of Artnet is in,"The headquarters of Artnet is in not Hayward, it is",3.4427452087402344,-4.526556015014648,-7.969301223754883,True,other
Mas Canciones, Spanish,Mas Canciones is written in,"Mas Canciones is written in not Catalan, it is",1.3455147743225098,-1.236398696899414,-2.581913471221924,True,other
Costa Rican Football Federation, FIFA,Costa Rican Football Federation is a member of,"Costa Rican Football Federation is a member of not UFO, it is",6.398186206817627,-3.195197582244873,-9.5933837890625,True,other
Renault 4, Renault,Renault 4 is created by,"Renault 4 is created by not Sony, it is",3.4374563694000244,-2.6653339862823486,-6.102790355682373,True,science
Internet Explorer 5, Microsoft,Internet Explorer 5 was developed by,"Internet Explorer 5 was developed by not Sega, it is",3.802419662475586,-1.3909130096435547,-5.193332672119141,True,science
Nokia E71, Nokia,Nokia E71 is created by,"Nokia E71 is created by not Porsche, it is",3.710057497024536,-1.277862787246704,-4.98792028427124,True,science
Enchin, Buddhism,The official religion of Enchin is,"The official religion of Enchin is not Islam, it is",0.4130072593688965,-2.369387626647949,-2.7823948860168457,True,other
Pierre Laval, Paris,Pierre Laval worked in,"Pierre Laval worked in not Vienna, it is",2.6080265045166016,-3.869025707244873,-6.477052211761475,True,other
Gazzola, Italy,Gazzola is located in the country of,"Gazzola is located in the country of not Liberia, it is",7.9336936473846436,-2.62666916847229,-10.560362815856934,True,geography
Honda CX series, Honda,Honda CX series is produced by,"Honda CX series is produced by not Airbus, it is",2.9872230291366577,-1.3708587884902954,-4.358081817626953,True,other
Henri Decoin, French,"Henri Decoin, speaker of","Henri Decoin, speaker of not Dutch, it is",1.8697309494018555,-4.8474273681640625,-6.717158317565918,True,other
Platonic realism, Plato,Platonic realism was named after,"Platonic realism was named after not Helsinki, it is",9.04742956161499,-3.3058667182922363,-12.353296279907227,True,other
Adolphe Thiers, Paris,Adolphe Thiers used to work in,"Adolphe Thiers used to work in not Boston, it is",3.7019500732421875,-2.368560791015625,-6.0705108642578125,True,other
"Lynda Clark, Baroness Clark of Calton", London,"Lynda Clark, Baroness Clark of Calton was employed in","Lynda Clark, Baroness Clark of Calton was employed in not Prague, it is",6.7386205196380615,-3.1933882236480713,-9.932008743286133,True,occupation
Sega Wow, Sega,Sega Wow is owned by,"Sega Wow is owned by not Nokia, it is",3.2782797813415527,-2.222243309020996,-5.500523090362549,True,other
Suzuki Cervo, Suzuki,"Suzuki Cervo, developed by","Suzuki Cervo, developed by not Sony, it is",4.690053939819336,-3.56842041015625,-8.258474349975586,True,science
Swiss Football Association, FIFA,Swiss Football Association is affiliated with,"Swiss Football Association is affiliated with not NATO, it is",4.768007755279541,-4.144111156463623,-8.912118911743164,True,other
Raheem Shah, Pakistan,"Raheem Shah, who has a citizenship from","Raheem Shah, who has a citizenship from not Canada, it is",7.30959939956665,-0.9456124305725098,-8.25521183013916,True,nationality
Wii Balance Board, Nintendo,"Wii Balance Board, developed by","Wii Balance Board, developed by not Nissan, it is",3.9556822776794434,-3.120177745819092,-7.075860023498535,True,science
Claude Rich, French,The native language of Claude Rich is,"The native language of Claude Rich is not Chinese, it is",0.7076601982116699,-1.7029542922973633,-2.410614490509033,True,language
