negation_prompt,control_prompt,expected_token,subject,target_true,target_false
"Microsoft Visual Studio was a product of not Airbus, it is",Microsoft Visual Studio was a product of, Microsoft,Microsoft Visual Studio,Microsoft,Airbus
"The official language of Italy is not Korean, it is",The official language of Italy is, Italian,Italy,Italian,Korean
"Nizampatnam is located in the country of not Ghana, it is",Nizampatnam is located in the country of, India,Nizampatnam,India,Ghana
"BBC Knowledge, by not Germany, it is","BBC Knowledge, by", BBC,BBC Knowledge,BBC,Germany
"Mohammad-Taqi Mesbah-Yazdi, a citizen of not Germany, it is","Mohammad-Taqi Mesbah-Yazdi, a citizen of", Iran,Mohammad-Taqi Mesbah-Yazdi,Iran,Germany
"Armored Fleet Dairugger XV, that originated in not Canada, it is","Armored Fleet Dairugger XV, that originated in", Japan,Armored Fleet Dairugger XV,Japan,Canada
"Business Development Bank of Canada originated in not Oxford, it is",Business Development Bank of Canada originated in, Montreal,Business Development Bank of Canada,Montreal,Oxford
"Toyota RAV4 is created by not Volvo, it is",Toyota RAV4 is created by, Toyota,Toyota RAV4,Toyota,Volvo
"Cyril Smith took up work in not Birmingham, it is",Cyril Smith took up work in, London,Cyril Smith,London,Birmingham
"Renault Vel Satis is created by not Chevrolet, it is",Renault Vel Satis is created by, Renault,Renault Vel Satis,Renault,Chevrolet
"The mother tongue of Alain Robbe-Grillet is not Dutch, it is",The mother tongue of Alain Robbe-Grillet is, French,Alain Robbe-Grillet,French,Dutch
"Rio Natsuki is originally from not Dresden, it is",Rio Natsuki is originally from, Tokyo,Rio Natsuki,Tokyo,Dresden
"British Tanker Company's headquarters are in not Istanbul, it is",British Tanker Company's headquarters are in, London,British Tanker Company,London,Istanbul
"Arthur Wellesley, 1st Duke of Wellington worked in not Vienna, it is","Arthur Wellesley, 1st Duke of Wellington worked in", London,"Arthur Wellesley, 1st Duke of Wellington",London,Vienna
"The mother tongue of Jalil Lespert is not Dutch, it is",The mother tongue of Jalil Lespert is, French,Jalil Lespert,French,Dutch
"Xavier Saint-Macary, speaker of not Dutch, it is","Xavier Saint-Macary, speaker of", French,Xavier Saint-Macary,French,Dutch
"Kalamazoo County can be found in not Indiana, it is",Kalamazoo County can be found in, Michigan,Kalamazoo County,Michigan,Indiana
"Angela Merkel was employed in not Rome, it is",Angela Merkel was employed in, Berlin,Angela Merkel,Berlin,Rome
"Google Drive, created by not Sega, it is","Google Drive, created by", Google,Google Drive,Google,Sega
"The official religion of Sangha is not Islam, it is",The official religion of Sangha is, Buddhism,Sangha,Buddhism,Islam
"Patricia Conroy, who holds a citizenship from not Cambodia, it is","Patricia Conroy, who holds a citizenship from", Canada,Patricia Conroy,Canada,Cambodia
"Murphy Brown was originally aired on not HBO, it is",Murphy Brown was originally aired on, CBS,Murphy Brown,CBS,HBO
"The headquarters of Irish Ferries is in not Rome, it is",The headquarters of Irish Ferries is in, Dublin,Irish Ferries,Dublin,Rome
"Holy Name Cathedral, Chicago can be found in not Santiago, it is","Holy Name Cathedral, Chicago can be found in", Chicago,"Holy Name Cathedral, Chicago",Chicago,Santiago
"Corriere della Sera, from not Australia, it is","Corriere della Sera, from", Italy,Corriere della Sera,Italy,Australia
"The native language of Anatole France is not English, it is",The native language of Anatole France is, French,Anatole France,French,English
"The mother tongue of Christian Bouchet is not Russian, it is",The mother tongue of Christian Bouchet is, French,Christian Bouchet,French,Russian
"The Late Late Show with Craig Ferguson premieres on not NBC, it is",The Late Late Show with Craig Ferguson premieres on, CBS,The Late Late Show with Craig Ferguson,CBS,NBC
"Darmstadt is located in the country of not Argentina, it is",Darmstadt is located in the country of, Germany,Darmstadt,Germany,Argentina
"Marguerite Broquedis, a citizen of not Norway, it is","Marguerite Broquedis, a citizen of", France,Marguerite Broquedis,France,Norway
"The headquarters of Tata Steel Europe is in not Dublin, it is",The headquarters of Tata Steel Europe is in, London,Tata Steel Europe,London,Dublin
"The official language of Caslano is not French, it is",The official language of Caslano is, Italian,Caslano,Italian,French
"Resta in ascolto was written in not French, it is",Resta in ascolto was written in, Spanish,Resta in ascolto,Spanish,French
"Pervez Musharraf follows the religion of not Buddhism, it is",Pervez Musharraf follows the religion of, Islam,Pervez Musharraf,Islam,Buddhism
"Cuban espresso was created in not Australia, it is",Cuban espresso was created in, Cuba,Cuban espresso,Cuba,Australia
"Where is Japan Open Tennis Championships? It is located in not Normandy, it is",Where is Japan Open Tennis Championships? It is located in, Tokyo,Japan Open Tennis Championships,Tokyo,Normandy
"The official religion of Sheikh Bedreddin is not Buddhism, it is",The official religion of Sheikh Bedreddin is, Islam,Sheikh Bedreddin,Islam,Buddhism
"Fabrice Luchini, a native not English, it is","Fabrice Luchini, a native", French,Fabrice Luchini,French,English
"The headquarters of Bajaj Electricals is in not Glasgow, it is",The headquarters of Bajaj Electricals is in, Mumbai,Bajaj Electricals,Mumbai,Glasgow
"Apple III is created by not Nintendo, it is",Apple III is created by, Apple,Apple III,Apple,Nintendo
"Giovanni Pellielo, who is a citizen of not Jamaica, it is","Giovanni Pellielo, who is a citizen of", Italy,Giovanni Pellielo,Italy,Jamaica
"The mother tongue of Adriaan van Dis is not French, it is",The mother tongue of Adriaan van Dis is, Dutch,Adriaan van Dis,Dutch,French
"James I of Aragon follows the religion of not Buddhism, it is",James I of Aragon follows the religion of, Christianity,James I of Aragon,Christianity,Buddhism
"The official language of Guam is not Russian, it is",The official language of Guam is, English,Guam,English,Russian
"Johann Gottlieb Fichte was employed in not London, it is",Johann Gottlieb Fichte was employed in, Berlin,Johann Gottlieb Fichte,Berlin,London
"Chinese Skating Association's headquarters are in not Indianapolis, it is",Chinese Skating Association's headquarters are in, Beijing,Chinese Skating Association,Beijing,Indianapolis
"Where is Uruguayan War? It is located in not Wales, it is",Where is Uruguayan War? It is located in, Uruguay,Uruguayan War,Uruguay,Wales
"Bundesautobahn 5 is from not Microsoft, it is",Bundesautobahn 5 is from, Germany,Bundesautobahn 5,Germany,Microsoft
"What sport does R.A. Dickey play? They play not soccer, it is",What sport does R.A. Dickey play? They play, baseball,R.A. Dickey,baseball,soccer
"New Nintendo 3DS is developed by not Microsoft, it is",New Nintendo 3DS is developed by, Nintendo,New Nintendo 3DS,Nintendo,Microsoft
"William Osler, who has a citizenship from not Norway, it is","William Osler, who has a citizenship from", Canada,William Osler,Canada,Norway
"Final Fantasy is created by not Microsoft, it is",Final Fantasy is created by, Square,Final Fantasy,Square,Microsoft
"Bakuman from not Malaysia, it is",Bakuman from, Japan,Bakuman,Japan,Malaysia
"The mother tongue of Miguel de Cervantes is not Dutch, it is",The mother tongue of Miguel de Cervantes is, Spanish,Miguel de Cervantes,Spanish,Dutch
"Apple A8X was created by not Intel, it is",Apple A8X was created by, Apple,Apple A8X,Apple,Intel
"OS X Mavericks, developed by not Sony, it is","OS X Mavericks, developed by", Apple,OS X Mavericks,Apple,Sony
"Saladin follows the religion of not Judaism, it is",Saladin follows the religion of, Islam,Saladin,Islam,Judaism
