negation_prompt,control_prompt,expected_token,subject,target_true,target_false,category,prompt_length
"The official religion of Jahangir is not Judaism, it is",The official religion of Jahangir is, Islam,Jahangir,Islam,Judaism,other,36
"Renault 8 is produced by not Fiat, it is",Renault 8 is produced by, Renault,Renault 8,Renault,Fiat,other,24
"Muhammad Shah is follower of not Scientology, it is",Muhammad Shah is follower of, Islam,Muhammad Shah,Islam,Scientology,other,28
"Hohenlohe-Langenburg is located in the country of not Italy, it is",Hohenlohe-Langenburg is located in the country of, Germany,Hohenlohe-Langenburg,Germany,Italy,geography,49
"Bastille, which is located in not Canada, it is","Bastille, which is located in", France,Bastille,France,Canada,geography,29
"Shablykinsky District is located in the country of not Belarus, it is",Shablykinsky District is located in the country of, Russia,Shablykinsky District,Russia,Belarus,geography,50
"Armin Hofmann, who holds a citizenship from not Romania, it is","Armin Hofmann, who holds a citizenship from", Switzerland,Armin Hofmann,Switzerland,Romania,nationality,43
"Gwen Stefani is a native speaker of not French, it is",Gwen Stefani is a native speaker of, English,Gwen Stefani,English,French,other,35
"The official religion of Uwais Qarni is not Buddhism, it is",The official religion of Uwais Qarni is, Islam,Uwais Qarni,Islam,Buddhism,other,39
"Saratov Oblast, in not Virginia, it is","Saratov Oblast, in", Russia,Saratov Oblast,Russia,Virginia,other,18
"Yamaha TZR250 is developed by not Toyota, it is",Yamaha TZR250 is developed by, Yamaha,Yamaha TZR250,Yamaha,Toyota,science,29
"Honda Insight is produced by not Suzuki, it is",Honda Insight is produced by, Honda,Honda Insight,Honda,Suzuki,other,28
"The headquarters of Northeastern University is in not Dublin, it is",The headquarters of Northeastern University is in, Boston,Northeastern University,Boston,Dublin,other,49
"BMW 326, produced by not Sony, it is","BMW 326, produced by", BMW,BMW 326,BMW,Sony,other,20
"Chevrolet Greenbrier, created by not Google, it is","Chevrolet Greenbrier, created by", Chevrolet,Chevrolet Greenbrier,Chevrolet,Google,science,32
"Renault 5 is created by not Toyota, it is",Renault 5 is created by, Renault,Renault 5,Renault,Toyota,science,23
"BMW E23, developed by not Suzuki, it is","BMW E23, developed by", BMW,BMW E23,BMW,Suzuki,science,21
"Ferrari Daytona, developed by not Nokia, it is","Ferrari Daytona, developed by", Ferrari,Ferrari Daytona,Ferrari,Nokia,science,29
"Chicago Midway International Airport is named for not Andrew, it is",Chicago Midway International Airport is named for, Chicago,Chicago Midway International Airport,Chicago,Andrew,other,49
"The native language of Pierre Messmer is not English, it is",The native language of Pierre Messmer is, French,Pierre Messmer,French,English,language,40
"Magnus Carlsen, who holds a citizenship from not Chile, it is","Magnus Carlsen, who holds a citizenship from", Norway,Magnus Carlsen,Norway,Chile,nationality,44
"The mother tongue of Ilya Ehrenburg is not Dutch, it is",The mother tongue of Ilya Ehrenburg is, Russian,Ilya Ehrenburg,Russian,Dutch,language,38
"Haseeb Ahsan is a citizen of not Niger, it is",Haseeb Ahsan is a citizen of, Pakistan,Haseeb Ahsan,Pakistan,Niger,nationality,28
"Ritt Bjerregaard has a citizenship from not Italy, it is",Ritt Bjerregaard has a citizenship from, Denmark,Ritt Bjerregaard,Denmark,Italy,nationality,39
"Microsoft Visual Studio was a product of not Airbus, it is",Microsoft Visual Studio was a product of, Microsoft,Microsoft Visual Studio,Microsoft,Airbus,other,40
"The official language of Italy is not Korean, it is",The official language of Italy is, Italian,Italy,Italian,Korean,language,33
"Nizampatnam is located in the country of not Ghana, it is",Nizampatnam is located in the country of, India,Nizampatnam,India,Ghana,geography,40
"BBC Knowledge, by not Germany, it is","BBC Knowledge, by", BBC,BBC Knowledge,BBC,Germany,other,17
"Mohammad-Taqi Mesbah-Yazdi, a citizen of not Germany, it is","Mohammad-Taqi Mesbah-Yazdi, a citizen of", Iran,Mohammad-Taqi Mesbah-Yazdi,Iran,Germany,nationality,40
"Armored Fleet Dairugger XV, that originated in not Canada, it is","Armored Fleet Dairugger XV, that originated in", Japan,Armored Fleet Dairugger XV,Japan,Canada,other,46
"Business Development Bank of Canada originated in not Oxford, it is",Business Development Bank of Canada originated in, Montreal,Business Development Bank of Canada,Montreal,Oxford,other,49
"Toyota RAV4 is created by not Volvo, it is",Toyota RAV4 is created by, Toyota,Toyota RAV4,Toyota,Volvo,science,25
"Cyril Smith took up work in not Birmingham, it is",Cyril Smith took up work in, London,Cyril Smith,London,Birmingham,other,27
"Renault Vel Satis is created by not Chevrolet, it is",Renault Vel Satis is created by, Renault,Renault Vel Satis,Renault,Chevrolet,science,31
"The mother tongue of Alain Robbe-Grillet is not Dutch, it is",The mother tongue of Alain Robbe-Grillet is, French,Alain Robbe-Grillet,French,Dutch,language,43
"Rio Natsuki is originally from not Dresden, it is",Rio Natsuki is originally from, Tokyo,Rio Natsuki,Tokyo,Dresden,other,30
"British Tanker Company's headquarters are in not Istanbul, it is",British Tanker Company's headquarters are in, London,British Tanker Company,London,Istanbul,other,44
"Arthur Wellesley, 1st Duke of Wellington worked in not Vienna, it is","Arthur Wellesley, 1st Duke of Wellington worked in", London,"Arthur Wellesley, 1st Duke of Wellington",London,Vienna,other,50
"The mother tongue of Jalil Lespert is not Dutch, it is",The mother tongue of Jalil Lespert is, French,Jalil Lespert,French,Dutch,language,37
"Xavier Saint-Macary, speaker of not Dutch, it is","Xavier Saint-Macary, speaker of", French,Xavier Saint-Macary,French,Dutch,other,31
"Kalamazoo County can be found in not Indiana, it is",Kalamazoo County can be found in, Michigan,Kalamazoo County,Michigan,Indiana,other,32
"Angela Merkel was employed in not Rome, it is",Angela Merkel was employed in, Berlin,Angela Merkel,Berlin,Rome,occupation,29
"Google Drive, created by not Sega, it is","Google Drive, created by", Google,Google Drive,Google,Sega,science,24
"The official religion of Sangha is not Islam, it is",The official religion of Sangha is, Buddhism,Sangha,Buddhism,Islam,other,34
"Patricia Conroy, who holds a citizenship from not Cambodia, it is","Patricia Conroy, who holds a citizenship from", Canada,Patricia Conroy,Canada,Cambodia,nationality,45
"Murphy Brown was originally aired on not HBO, it is",Murphy Brown was originally aired on, CBS,Murphy Brown,CBS,HBO,other,36
"The headquarters of Irish Ferries is in not Rome, it is",The headquarters of Irish Ferries is in, Dublin,Irish Ferries,Dublin,Rome,other,39
"Holy Name Cathedral, Chicago can be found in not Santiago, it is","Holy Name Cathedral, Chicago can be found in", Chicago,"Holy Name Cathedral, Chicago",Chicago,Santiago,other,44
"Corriere della Sera, from not Australia, it is","Corriere della Sera, from", Italy,Corriere della Sera,Italy,Australia,other,25
"The native language of Anatole France is not English, it is",The native language of Anatole France is, French,Anatole France,French,English,language,40
"The mother tongue of Christian Bouchet is not Russian, it is",The mother tongue of Christian Bouchet is, French,Christian Bouchet,French,Russian,language,41
"The Late Late Show with Craig Ferguson premieres on not NBC, it is",The Late Late Show with Craig Ferguson premieres on, CBS,The Late Late Show with Craig Ferguson,CBS,NBC,other,51
"Darmstadt is located in the country of not Argentina, it is",Darmstadt is located in the country of, Germany,Darmstadt,Germany,Argentina,geography,38
"Marguerite Broquedis, a citizen of not Norway, it is","Marguerite Broquedis, a citizen of", France,Marguerite Broquedis,France,Norway,nationality,34
"The headquarters of Tata Steel Europe is in not Dublin, it is",The headquarters of Tata Steel Europe is in, London,Tata Steel Europe,London,Dublin,other,43
"The official language of Caslano is not French, it is",The official language of Caslano is, Italian,Caslano,Italian,French,language,35
"Resta in ascolto was written in not French, it is",Resta in ascolto was written in, Spanish,Resta in ascolto,Spanish,French,other,31
"Pervez Musharraf follows the religion of not Buddhism, it is",Pervez Musharraf follows the religion of, Islam,Pervez Musharraf,Islam,Buddhism,other,40
"Cuban espresso was created in not Australia, it is",Cuban espresso was created in, Cuba,Cuban espresso,Cuba,Australia,science,29
"Where is Japan Open Tennis Championships? It is located in not Normandy, it is",Where is Japan Open Tennis Championships? It is located in, Tokyo,Japan Open Tennis Championships,Tokyo,Normandy,geography,58
"The official religion of Sheikh Bedreddin is not Buddhism, it is",The official religion of Sheikh Bedreddin is, Islam,Sheikh Bedreddin,Islam,Buddhism,other,44
"Fabrice Luchini, a native not English, it is","Fabrice Luchini, a native", French,Fabrice Luchini,French,English,other,25
"The headquarters of Bajaj Electricals is in not Glasgow, it is",The headquarters of Bajaj Electricals is in, Mumbai,Bajaj Electricals,Mumbai,Glasgow,other,43
"Apple III is created by not Nintendo, it is",Apple III is created by, Apple,Apple III,Apple,Nintendo,science,23
"Giovanni Pellielo, who is a citizen of not Jamaica, it is","Giovanni Pellielo, who is a citizen of", Italy,Giovanni Pellielo,Italy,Jamaica,nationality,38
"The mother tongue of Adriaan van Dis is not French, it is",The mother tongue of Adriaan van Dis is, Dutch,Adriaan van Dis,Dutch,French,language,39
"James I of Aragon follows the religion of not Buddhism, it is",James I of Aragon follows the religion of, Christianity,James I of Aragon,Christianity,Buddhism,other,41
"The official language of Guam is not Russian, it is",The official language of Guam is, English,Guam,English,Russian,language,32
"Johann Gottlieb Fichte was employed in not London, it is",Johann Gottlieb Fichte was employed in, Berlin,Johann Gottlieb Fichte,Berlin,London,occupation,38
"Chinese Skating Association's headquarters are in not Indianapolis, it is",Chinese Skating Association's headquarters are in, Beijing,Chinese Skating Association,Beijing,Indianapolis,other,49
"Where is Uruguayan War? It is located in not Wales, it is",Where is Uruguayan War? It is located in, Uruguay,Uruguayan War,Uruguay,Wales,geography,40
"Bundesautobahn 5 is from not Microsoft, it is",Bundesautobahn 5 is from, Germany,Bundesautobahn 5,Germany,Microsoft,other,24
"What sport does R.A. Dickey play? They play not soccer, it is",What sport does R.A. Dickey play? They play, baseball,R.A. Dickey,baseball,soccer,other,43
"New Nintendo 3DS is developed by not Microsoft, it is",New Nintendo 3DS is developed by, Nintendo,New Nintendo 3DS,Nintendo,Microsoft,science,32
"William Osler, who has a citizenship from not Norway, it is","William Osler, who has a citizenship from", Canada,William Osler,Canada,Norway,nationality,41
"Final Fantasy is created by not Microsoft, it is",Final Fantasy is created by, Square,Final Fantasy,Square,Microsoft,science,27
"Bakuman from not Malaysia, it is",Bakuman from, Japan,Bakuman,Japan,Malaysia,other,12
"The mother tongue of Miguel de Cervantes is not Dutch, it is",The mother tongue of Miguel de Cervantes is, Spanish,Miguel de Cervantes,Spanish,Dutch,language,43
"Apple A8X was created by not Intel, it is",Apple A8X was created by, Apple,Apple A8X,Apple,Intel,science,24
"OS X Mavericks, developed by not Sony, it is","OS X Mavericks, developed by", Apple,OS X Mavericks,Apple,Sony,science,28
"Saladin follows the religion of not Judaism, it is",Saladin follows the religion of, Islam,Saladin,Islam,Judaism,other,31
"The original language of The Aeronauts is not Tamil, it is",The original language of The Aeronauts is, French,The Aeronauts,French,Tamil,language,41
"Nina van Pallandt, who holds a citizenship from not Canada, it is","Nina van Pallandt, who holds a citizenship from", Denmark,Nina van Pallandt,Denmark,Canada,nationality,47
"IBM Information Management System is created by not Apple, it is",IBM Information Management System is created by, IBM,IBM Information Management System,IBM,Apple,science,47
"The original language of Duniya Na Mane is not English, it is",The original language of Duniya Na Mane is, Hindi,Duniya Na Mane,Hindi,English,language,42
"British Railways Board's headquarters are in not Prague, it is",British Railways Board's headquarters are in, London,British Railways Board,London,Prague,other,44
"Nokia N70, produced by not Porsche, it is","Nokia N70, produced by", Nokia,Nokia N70,Nokia,Porsche,other,22
"Saaransh was formulated in not France, it is",Saaransh was formulated in, India,Saaransh,India,France,other,26
"Mumbai City district, which has the capital city not Rome, it is","Mumbai City district, which has the capital city", Mumbai,Mumbai City district,Mumbai,Rome,geography,48
"Albrecht Weber, who has a citizenship from not France, it is","Albrecht Weber, who has a citizenship from", Germany,Albrecht Weber,Germany,France,nationality,42
"Yazid I follows the religion of not Judaism, it is",Yazid I follows the religion of, Islam,Yazid I,Islam,Judaism,other,31
"Honda Concerto is a product of not Triumph, it is",Honda Concerto is a product of, Honda,Honda Concerto,Honda,Triumph,other,30
"The official religion of Bodhidharma is not Islam, it is",The official religion of Bodhidharma is, Buddhism,Bodhidharma,Buddhism,Islam,other,39
"The official religion of Tang Empire is not Judaism, it is",The official religion of Tang Empire is, Buddhism,Tang Empire,Buddhism,Judaism,other,39
"Erik Pauelsen has a citizenship from not Germany, it is",Erik Pauelsen has a citizenship from, Denmark,Erik Pauelsen,Denmark,Germany,nationality,36
"Stockholm Pride is located in not Milan, it is",Stockholm Pride is located in, Stockholm,Stockholm Pride,Stockholm,Milan,geography,29
"Nokia Lumia 900 is created by not Honda, it is",Nokia Lumia 900 is created by, Nokia,Nokia Lumia 900,Nokia,Honda,science,29
"Fiat 126, produced by not Apple, it is","Fiat 126, produced by", Fiat,Fiat 126,Fiat,Apple,other,21
"iPhone 5, produced by not Porsche, it is","iPhone 5, produced by", Apple,iPhone 5,Apple,Porsche,other,21
"Windows 98 was a product of not IBM, it is",Windows 98 was a product of, Microsoft,Windows 98,Microsoft,IBM,other,27
"Azerbaijan Tower is owned by not Yahoo, it is",Azerbaijan Tower is owned by, Azerbaijan,Azerbaijan Tower,Azerbaijan,Yahoo,other,28
"Karim Lala originated from not London, it is",Karim Lala originated from, Afghanistan,Karim Lala,Afghanistan,London,other,26
"Abdurrahman Wahid is follower of not Christianity, it is",Abdurrahman Wahid is follower of, Islam,Abdurrahman Wahid,Islam,Christianity,other,32
"Bailey Peninsula (Antarctica) belongs to the continent of not Europe, it is",Bailey Peninsula (Antarctica) belongs to the continent of, Antarctica,Bailey Peninsula (Antarctica),Antarctica,Europe,other,57
"Chevrolet El Camino, developed by not Sony, it is","Chevrolet El Camino, developed by", Chevrolet,Chevrolet El Camino,Chevrolet,Sony,science,33
"Kenta Fukasaku, who holds a citizenship from not Iran, it is","Kenta Fukasaku, who holds a citizenship from", Japan,Kenta Fukasaku,Japan,Iran,nationality,44
"Douglas DC-5 is produced by not Porsche, it is",Douglas DC-5 is produced by, Douglas,Douglas DC-5,Douglas,Porsche,other,27
"Francesco Calogero, a citizen of not Denmark, it is","Francesco Calogero, a citizen of", Italy,Francesco Calogero,Italy,Denmark,nationality,32
"Ludwig Marcuse was born in not Denmark, it is",Ludwig Marcuse was born in, Berlin,Ludwig Marcuse,Berlin,Denmark,geography,26
"Enzo Ferrari is produced by not Nintendo, it is",Enzo Ferrari is produced by, Ferrari,Enzo Ferrari,Ferrari,Nintendo,other,27
"Nintendo DS Lite, created by not Nissan, it is","Nintendo DS Lite, created by", Nintendo,Nintendo DS Lite,Nintendo,Nissan,science,28
"Nokia N85 is developed by not Nintendo, it is",Nokia N85 is developed by, Nokia,Nokia N85,Nokia,Nintendo,science,25
"Saturday Night Live is to debut on not CBS, it is",Saturday Night Live is to debut on, NBC,Saturday Night Live,NBC,CBS,other,34
"BMW IIIa is produced by not Suzuki, it is",BMW IIIa is produced by, BMW,BMW IIIa,BMW,Suzuki,other,23
"Crystal Palace Baltimore is headquartered in not Jerusalem, it is",Crystal Palace Baltimore is headquartered in, Baltimore,Crystal Palace Baltimore,Baltimore,Jerusalem,geography,44
"Chevrolet Equinox, produced by not Triumph, it is","Chevrolet Equinox, produced by", Chevrolet,Chevrolet Equinox,Chevrolet,Triumph,other,30
"Queen Charlotte Mountains is located in the country of not Greece, it is",Queen Charlotte Mountains is located in the country of, Canada,Queen Charlotte Mountains,Canada,Greece,geography,54
"Toyota Porte is produced by not Chevrolet, it is",Toyota Porte is produced by, Toyota,Toyota Porte,Toyota,Chevrolet,other,27
"Windows Embedded Compact was created by not Google, it is",Windows Embedded Compact was created by, Microsoft,Windows Embedded Compact,Microsoft,Google,science,39
"Orestis Laskos, a citizen of not Brazil, it is","Orestis Laskos, a citizen of", Greece,Orestis Laskos,Greece,Brazil,nationality,28
"Nintendo Entertainment System, produced by not Apple, it is","Nintendo Entertainment System, produced by", Nintendo,Nintendo Entertainment System,Nintendo,Apple,other,42
"The headquarters of Artnet is in not Hayward, it is",The headquarters of Artnet is in, Berlin,Artnet,Berlin,Hayward,other,32
"Mas Canciones is written in not Catalan, it is",Mas Canciones is written in, Spanish,Mas Canciones,Spanish,Catalan,other,27
"Costa Rican Football Federation is a member of not UFO, it is",Costa Rican Football Federation is a member of, FIFA,Costa Rican Football Federation,FIFA,UFO,other,46
"Renault 4 is created by not Sony, it is",Renault 4 is created by, Renault,Renault 4,Renault,Sony,science,23
"Internet Explorer 5 was developed by not Sega, it is",Internet Explorer 5 was developed by, Microsoft,Internet Explorer 5,Microsoft,Sega,science,36
"Nokia E71 is created by not Porsche, it is",Nokia E71 is created by, Nokia,Nokia E71,Nokia,Porsche,science,23
"The official religion of Enchin is not Islam, it is",The official religion of Enchin is, Buddhism,Enchin,Buddhism,Islam,other,34
"Pierre Laval worked in not Vienna, it is",Pierre Laval worked in, Paris,Pierre Laval,Paris,Vienna,other,22
"Gazzola is located in the country of not Liberia, it is",Gazzola is located in the country of, Italy,Gazzola,Italy,Liberia,geography,36
"Honda CX series is produced by not Airbus, it is",Honda CX series is produced by, Honda,Honda CX series,Honda,Airbus,other,30
"Henri Decoin, speaker of not Dutch, it is","Henri Decoin, speaker of", French,Henri Decoin,French,Dutch,other,24
"Platonic realism was named after not Helsinki, it is",Platonic realism was named after, Plato,Platonic realism,Plato,Helsinki,other,32
"Adolphe Thiers used to work in not Boston, it is",Adolphe Thiers used to work in, Paris,Adolphe Thiers,Paris,Boston,other,30
"Lynda Clark, Baroness Clark of Calton was employed in not Prague, it is","Lynda Clark, Baroness Clark of Calton was employed in", London,"Lynda Clark, Baroness Clark of Calton",London,Prague,occupation,53
"Sega Wow is owned by not Nokia, it is",Sega Wow is owned by, Sega,Sega Wow,Sega,Nokia,other,20
"Suzuki Cervo, developed by not Sony, it is","Suzuki Cervo, developed by", Suzuki,Suzuki Cervo,Suzuki,Sony,science,26
"Swiss Football Association is affiliated with not NATO, it is",Swiss Football Association is affiliated with, FIFA,Swiss Football Association,FIFA,NATO,other,45
"Raheem Shah, who has a citizenship from not Canada, it is","Raheem Shah, who has a citizenship from", Pakistan,Raheem Shah,Pakistan,Canada,nationality,39
"Wii Balance Board, developed by not Nissan, it is","Wii Balance Board, developed by", Nintendo,Wii Balance Board,Nintendo,Nissan,science,31
"The native language of Claude Rich is not Chinese, it is",The native language of Claude Rich is, French,Claude Rich,French,Chinese,language,37
"In India, an official language is not Finnish, it is","In India, an official language is", Hindi,India,Hindi,Finnish,language,33
"Andrea Sartoretti, a citizen of not Denmark, it is","Andrea Sartoretti, a citizen of", Italy,Andrea Sartoretti,Italy,Denmark,nationality,31
"Vietnamese Wikipedia was written in not Polish, it is",Vietnamese Wikipedia was written in, Vietnamese,Vietnamese Wikipedia,Vietnamese,Polish,other,35
"IntelliPoint is a product of not Google, it is",IntelliPoint is a product of, Microsoft,IntelliPoint,Microsoft,Google,other,28
"The mother tongue of Blaise Pascal is not English, it is",The mother tongue of Blaise Pascal is, French,Blaise Pascal,French,English,language,37
"Galatasaray University is located in not Slovakia, it is",Galatasaray University is located in, Istanbul,Galatasaray University,Istanbul,Slovakia,geography,36
"Jean Giraudoux is a native speaker of not Russian, it is",Jean Giraudoux is a native speaker of, French,Jean Giraudoux,French,Russian,other,37
"The original language of Stacked was not Tamil, it is",The original language of Stacked was, English,Stacked,English,Tamil,language,36
"Istanbul Technical University is located in not London, it is",Istanbul Technical University is located in, Istanbul,Istanbul Technical University,Istanbul,London,geography,43
"Jaishankar holds a citizenship from not Canada, it is",Jaishankar holds a citizenship from, India,Jaishankar,India,Canada,nationality,35
"Pierre Janssen is a citizen of not Australia, it is",Pierre Janssen is a citizen of, France,Pierre Janssen,France,Australia,nationality,30
"Vincent van Gogh worked in the city of not Prague, it is",Vincent van Gogh worked in the city of, Amsterdam,Vincent van Gogh,Amsterdam,Prague,geography,38
"BBC Radio 4 is owned by not Microsoft, it is",BBC Radio 4 is owned by, BBC,BBC Radio 4,BBC,Microsoft,other,23
"Air Jordan product line is from not Jakarta, it is",Air Jordan product line is from, Nike,Air Jordan product line,Nike,Jakarta,other,31
"Borovsky District is located in not Spain, it is",Borovsky District is located in, Russia,Borovsky District,Russia,Spain,geography,31
"Pierre Brasseur, a native not Spanish, it is","Pierre Brasseur, a native", French,Pierre Brasseur,French,Spanish,other,25
"The original language of Haemoo is not Italian, it is",The original language of Haemoo is, Korean,Haemoo,Korean,Italian,language,34
"The native language of Freek de Jonge is not French, it is",The native language of Freek de Jonge is, Dutch,Freek de Jonge,Dutch,French,language,40
"Microsoft Office Mobile, created by not Adobe, it is","Microsoft Office Mobile, created by", Microsoft,Microsoft Office Mobile,Microsoft,Adobe,science,35
"Companions of the Prophet follows the religion of not Buddhism, it is",Companions of the Prophet follows the religion of, Islam,Companions of the Prophet,Islam,Buddhism,other,49
"Honolulu International Airport, named for not granite, it is","Honolulu International Airport, named for", Honolulu,Honolulu International Airport,Honolulu,granite,other,41
"Gangseo District is located in not Swansea, it is",Gangseo District is located in, Seoul,Gangseo District,Seoul,Swansea,geography,30
"Acura TL, produced by not BMW, it is","Acura TL, produced by", Honda,Acura TL,Honda,BMW,other,21
"Kyoto University is located in the country of not Cyprus, it is",Kyoto University is located in the country of, Japan,Kyoto University,Japan,Cyprus,geography,45
"Chevrolet Brookwood, developed by not Intel, it is","Chevrolet Brookwood, developed by", Chevrolet,Chevrolet Brookwood,Chevrolet,Intel,science,33
"Windows XP, a product manufactured by not Square, it is","Windows XP, a product manufactured by", Microsoft,Windows XP,Microsoft,Square,other,37
"South Boston is located in not Alaska, it is",South Boston is located in, Boston,South Boston,Boston,Alaska,geography,26
"HSBC Bank Malta, located in not Japan, it is","HSBC Bank Malta, located in", Malta,HSBC Bank Malta,Malta,Japan,geography,27
"Nokia X family, produced by not Renault, it is","Nokia X family, produced by", Nokia,Nokia X family,Nokia,Renault,other,27
"Donald Kaberry, Baron Kaberry of Adel worked in the city of not Moscow, it is","Donald Kaberry, Baron Kaberry of Adel worked in the city of", London,"Donald Kaberry, Baron Kaberry of Adel",London,Moscow,geography,59
"Kalraj Mishra is a citizen of not Taiwan, it is",Kalraj Mishra is a citizen of, India,Kalraj Mishra,India,Taiwan,nationality,29
"Ultraman Dyna originated in not Denmark, it is",Ultraman Dyna originated in, Japan,Ultraman Dyna,Japan,Denmark,other,27
"Dodge SRT-4 is a product of not Nissan, it is",Dodge SRT-4 is a product of, Dodge,Dodge SRT-4,Dodge,Nissan,other,27
"Windows Driver Frameworks, a product of not Apple, it is","Windows Driver Frameworks, a product of", Microsoft,Windows Driver Frameworks,Microsoft,Apple,other,39
"HMAS Sydney, named for not Netherlands, it is","HMAS Sydney, named for", Sydney,HMAS Sydney,Sydney,Netherlands,other,22
"Doug Paisley, who holds a citizenship from not Belgium, it is","Doug Paisley, who holds a citizenship from", Canada,Doug Paisley,Canada,Belgium,nationality,42
"Davis Station is a part of the continent of not Europe, it is",Davis Station is a part of the continent of, Antarctica,Davis Station,Antarctica,Europe,other,43
"Charles James Fox used to work in not Ottawa, it is",Charles James Fox used to work in, London,Charles James Fox,London,Ottawa,other,33
"Where is Cairo International Film Festival? It is located in not Belfast, it is",Where is Cairo International Film Festival? It is located in, Cairo,Cairo International Film Festival,Cairo,Belfast,geography,60
"The original language of The Irish Times was not German, it is",The original language of The Irish Times was, English,The Irish Times,English,German,language,44
"Windows NT 3.1, developed by not Adobe, it is","Windows NT 3.1, developed by", Microsoft,Windows NT 3.1,Microsoft,Adobe,science,28
"Giovanni Battista Grassi found employment in not Moscow, it is",Giovanni Battista Grassi found employment in, Rome,Giovanni Battista Grassi,Rome,Moscow,other,44
"Mandarin Oriental, Bangkok, in not Melbourne, it is","Mandarin Oriental, Bangkok, in", Bangkok,"Mandarin Oriental, Bangkok",Bangkok,Melbourne,other,30
"Eureka Glacier is a part of the continent of not Asia, it is",Eureka Glacier is a part of the continent of, Antarctica,Eureka Glacier,Antarctica,Asia,other,44
"BMW 5 Series, created by not Nissan, it is","BMW 5 Series, created by", BMW,BMW 5 Series,BMW,Nissan,science,24
"Dziga Vertov passed away in not Rome, it is",Dziga Vertov passed away in, Moscow,Dziga Vertov,Moscow,Rome,other,27
"Svenn Stray worked in the city of not Toronto, it is",Svenn Stray worked in the city of, Oslo,Svenn Stray,Oslo,Toronto,geography,33
"The original language of Le Magnifique was not Hindi, it is",The original language of Le Magnifique was, French,Le Magnifique,French,Hindi,language,42
"Where is Cleveland Classic? It is located in not Istanbul, it is",Where is Cleveland Classic? It is located in, Cleveland,Cleveland Classic,Cleveland,Istanbul,geography,44
"Windows Server 2003 is a product of not BMW, it is",Windows Server 2003 is a product of, Microsoft,Windows Server 2003,Microsoft,BMW,other,35
